0,1,2,3,4,5,6,7,8
금호석유(소재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"39,704","50,648","55,849","49,615","48,095","83,711","81,038","78,676"
영업이익,"1,571","2,626","5,546","3,654","7,422","24,842","15,979","13,585"
영업이익(발표기준),"1,571","2,626","5,546","3,654","7,422",,,
세전계속사업이익,"1,129","2,898","6,169","3,769","7,669","26,657","16,112","14,344"
당기순이익,808,"2,176","5,031","2,947","5,830","20,204","12,946","10,859"
당기순이익(지배),732,"2,136","4,912","2,946","5,829","20,246","12,201","10,858"
당기순이익(비지배),75,41,119,1,1,,,
자산총계,"45,461","45,798","46,167","45,380","50,273","72,773","80,837","89,248"
부채총계,"28,182","26,230","22,686","19,085","18,780","22,872","21,930","21,637"
자본총계,"17,279","19,568","23,481","26,296","31,492","50,003","59,783","67,611"
자본총계(지배),"16,197","18,427","23,473","26,286","31,482","49,868","58,894","67,596"
자본총계(비지배),"1,082","1,141",,9,10,,,
자본금,"1,675","1,675","1,675","1,675","1,675","1,671","1,670","1,670"
영업활동현금흐름,"2,968","4,210","4,846","5,577","7,715","16,392","13,178","12,124"
투자활동현금흐름,"-2,507","-1,060","-1,907","-1,360","-2,000","-5,646","-3,097","-3,413"
재무활동현금흐름,"1,036","-2,767","-4,264","-3,957","-2,785","-1,718","-3,832","-3,067"
CAPEX,"2,727","1,060","1,341","1,727","1,754","4,231","2,987","3,283"
FCF,240,"3,151","3,505","3,850","5,961","15,416","9,716","8,393"
이자발생부채,"20,807","18,091","14,570","11,561","9,076",,,
영업이익률,3.96,5.18,9.93,7.36,15.43,29.68,19.72,17.27
순이익률,2.03,4.30,9.01,5.94,12.12,24.14,15.97,13.80
ROE(%),4.61,12.34,23.45,11.84,20.18,49.78,22.32,17.17
ROA(%),1.85,4.77,10.94,6.44,12.19,32.84,16.79,12.77
부채비율,163.10,134.05,96.61,72.58,59.64,45.74,36.68,32.00
자본유보율,880.50,996.98,"1,362.22","1,518.71","1,841.63",,,
EPS(원),"2,187","6,377","14,667","8,796","17,405","60,461","36,618","32,587"
PER(배),37.49,15.60,5.95,8.81,8.33,2.46,4.44,4.99
BPS(원),"58,058","66,048","84,137","94,221","112,845","177,652","209,809","240,806"
PBR(배),1.41,1.51,1.04,0.82,1.28,0.84,0.77,0.67
현금DPS(원),800,"1,000","1,350","1,500","4,200","11,497","9,645","8,395"
현금배당수익률,0.98,1.01,1.55,1.94,2.90,7.72,5.94,5.17
현금배당성향(%),30.17,12.78,7.47,13.87,19.87,17.20,23.95,23.42
발행주식수(보통주),"30,467,691","30,467,691","30,467,691","30,467,691","30,467,691",,,
