0,1,2,3,4,5,6,7,8
LX하우시스(산업재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"29,283","32,094","32,665","31,868","30,380","34,558","37,066","39,340"
영업이익,"1,570","1,454",704,688,710,798,926,"1,262"
영업이익(발표기준),"1,570","1,454",704,688,710,,,
세전계속사업이익,"1,152","1,066",-176,138,-922,249,450,826
당기순이익,747,679,-531,116,-795,187,330,603
당기순이익(지배),751,679,-531,116,-771,192,334,613
당기순이익(비지배),-4,,,,-23,,,
자산총계,"22,859","25,824","25,097","25,656","23,854","24,962","25,570","26,418"
부채총계,"13,485","15,969","15,930","16,496","15,482","16,376","16,686","16,962"
자본총계,"9,374","9,856","9,167","9,160","8,372","8,583","8,883","9,456"
자본총계(지배),"9,374","9,856","9,167","9,142","8,377","8,586","8,888","9,471"
자본총계(비지배),,,,18,-5,,,
자본금,500,500,500,500,500,500,500,500
영업활동현금흐름,"1,522",274,"1,407","3,440","4,639","2,298","3,077","3,216"
투자활동현금흐름,-891,"-2,531","-2,330","-1,957",-798,"-1,382","-1,606","-1,625"
재무활동현금흐름,"-1,405","2,519","1,014","-1,448","-2,024",-397,-420,-350
CAPEX,"1,906","2,185","2,555","1,844","1,590","1,686","1,965","1,980"
FCF,-384,"-1,911","-1,148","1,595","3,049",788,"2,094","2,301"
이자발생부채,"8,347","10,775","12,029","11,429","9,484",,,
영업이익률,5.36,4.53,2.15,2.16,2.34,2.31,2.50,3.21
순이익률,2.55,2.11,-1.63,0.36,-2.62,0.54,0.89,1.53
ROE(%),8.29,7.06,-5.59,1.26,-8.80,2.27,3.83,6.68
ROA(%),3.29,2.79,-2.09,0.46,-3.21,0.77,1.30,2.32
부채비율,143.87,162.02,173.76,180.09,184.92,190.80,187.85,179.37
자본유보율,"1,818.00","1,932.69","1,787.72","1,800.10","1,645.22",,,
EPS(원),"7,514","6,786","-5,313","1,156","-7,712","1,923","3,345","6,130"
PER(배),12.74,14.31,N/A,47.30,N/A,30.88,16.71,9.12
BPS(원),"93,927","98,758","91,861","91,606","83,945","86,034","89,066","94,902"
PBR(배),1.02,0.98,0.62,0.60,0.93,0.69,0.63,0.59
현금DPS(원),"1,800","1,800",250,250,300,317,300,300
현금배당수익률,1.88,1.85,0.44,0.46,0.38,0.53,0.54,0.54
현금배당성향(%),23.98,26.55,-4.79,22.02,-3.95,14.77,8.04,4.39
발행주식수(보통주),"8,967,670","8,967,670","8,967,670","8,967,670","8,967,670",,,
