0,1,2,3,4,5,6,7,8
한국콜마(경기관련소비재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"6,675","8,216","13,579","13,789","13,221","15,887","17,503","19,100"
영업이익,734,670,900,998,"1,217",891,"1,312","1,520"
영업이익(발표기준),734,670,900,998,"1,217",,,
세전계속사업이익,713,620,554,452,"2,216",721,"1,146","1,361"
당기순이익,532,486,368,336,"1,606",544,839,994
당기순이익(지배),531,473,423,291,"1,603",476,711,853
당기순이익(비지배),1,13,-55,46,3,,,
자산총계,"4,929","6,685","21,864","24,003","24,896","24,545","25,188","26,083"
부채총계,"2,052","3,359","13,766","15,524","14,904","13,763","13,677","13,690"
자본총계,"2,877","3,326","8,098","8,479","9,992","10,782","11,511","12,392"
자본총계(지배),"2,699","3,051","4,384","4,714","6,237","6,674","7,313","8,084"
자본총계(비지배),178,275,,"3,765","3,756",,,
자본금,106,106,112,114,114,112,112,112
영업활동현금흐름,382,54,628,"1,648","1,215",732,"1,229","1,410"
투자활동현금흐름,-215,"-1,562","-12,932","-1,507","2,457",-934,-489,-268
재무활동현금흐름,109,"1,351","12,937",277,"-1,095",-958,-512,-406
CAPEX,448,686,792,737,"1,192",608,454,510
FCF,-66,-633,-164,912,23,814,839,999
이자발생부채,634,"1,980","11,070","12,294","11,308",,,
영업이익률,11.00,8.15,6.63,7.24,9.20,5.61,7.50,7.96
순이익률,7.97,5.92,2.71,2.44,12.14,3.42,4.79,5.20
ROE(%),21.64,16.44,11.38,6.39,29.27,7.37,10.17,11.08
ROA(%),12.71,8.37,2.58,1.47,6.57,2.20,3.37,3.88
부채비율,71.34,100.98,169.99,183.10,149.15,127.64,118.82,110.47
자본유보율,"2,440.40","2,814.70","3,839.31","4,022.61","5,337.63",,,
EPS(원),"2,516","2,240","1,954","1,284","7,004","2,079","3,109","3,727"
PER(배),26.16,36.61,36.09,36.78,7.27,18.93,12.66,10.56
BPS(원),"12,790","14,458","19,616","20,601","27,258","29,168","31,961","35,329"
PBR(배),5.14,5.67,3.59,2.29,1.87,1.35,1.23,1.11
현금DPS(원),250,300,330,330,345,355,361,362
현금배당수익률,0.38,0.37,0.47,0.70,0.68,0.90,0.92,0.92
현금배당성향(%),9.94,13.40,17.43,25.99,4.93,17.08,11.61,9.71
발행주식수(보통주),"21,100,151","21,104,461","22,346,698","22,881,180","22,881,180",,,
