0,1,2,3,4,5,6,7,8
동원F&B(필수소비재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"22,413","25,526","28,025","30,303","31,703","34,107","36,769","38,915"
영업이익,733,724,872,"1,014","1,163","1,352","1,422","1,548"
영업이익(발표기준),733,724,872,"1,014","1,163",,,
세전계속사업이익,648,673,714,870,"1,033","1,078","1,288","1,418"
당기순이익,504,514,567,657,779,797,976,"1,074"
당기순이익(지배),503,514,567,657,779,797,976,"1,074"
당기순이익(비지배),1,0,0,,,,,
자산총계,"10,854","13,691","14,036","15,735","16,839","17,899","18,702","19,697"
부채총계,"5,335","7,759","7,711","8,923","9,370","9,760","9,779","9,849"
자본총계,"5,519","5,932","6,325","6,812","7,469","8,139","8,923","9,848"
자본총계(지배),"5,517","5,931","6,325","6,812","7,469","8,139","8,923","9,848"
자본총계(비지배),2,2,,,,,,
자본금,193,193,193,193,193,191,191,191
영업활동현금흐름,"1,046",497,261,"1,342","1,563","1,205","1,416","1,445"
투자활동현금흐름,-544,"-2,329",-843,"-1,600","-1,520",-788,-966,"-1,059"
재무활동현금흐름,-174,"1,801",164,390,60,-338,-312,-211
CAPEX,394,903,897,"1,780",879,790,818,880
FCF,652,-407,-636,-438,683,606,558,676
이자발생부채,"1,941","4,226","4,630","5,493","6,108",,,
영업이익률,3.27,2.84,3.11,3.35,3.67,3.96,3.87,3.98
순이익률,2.25,2.01,2.02,2.17,2.46,2.34,2.66,2.76
ROE(%),9.38,8.97,9.26,10.00,10.91,10.21,11.44,11.44
ROA(%),4.95,4.19,4.09,4.41,4.78,4.59,5.33,5.59
부채비율,96.66,130.79,121.92,130.99,125.44,119.93,109.60,100.00
자본유보율,"2,837.34","3,052.59","3,298.77","3,580.92","3,924.80",,,
EPS(원),"13,044","13,313","14,699","17,015","20,194","20,647","25,296","27,825"
PER(배),15.18,17.58,19.56,13.28,8.86,9.11,7.14,6.49
BPS(원),"142,964","153,682","163,896","176,519","193,553","210,892","231,208","255,198"
PBR(배),1.38,1.52,1.75,1.28,0.92,0.89,0.78,0.71
현금DPS(원),"2,500","2,500","3,000","3,000","3,500","3,500","3,660","3,760"
현금배당수익률,1.26,1.07,1.04,1.33,1.96,1.86,2.03,2.08
현금배당성향(%),19.17,18.78,20.41,17.63,17.33,16.95,14.47,13.51
발행주식수(보통주),"3,859,124","3,859,124","3,859,124","3,859,124","3,859,124",,,
