0,1,2,3,4,5,6,7,8
대한해운(산업재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"5,403","15,264","12,846","10,057","8,841","11,053","11,625","12,100"
영업이익,441,949,"1,350","1,288","1,459","1,925","1,946","2,194"
영업이익(발표기준),441,949,"1,350","1,288","1,459",,,
세전계속사업이익,351,"1,104",754,894,266,"2,660","1,372","1,752"
당기순이익,308,"1,032",783,"1,010",275,"2,482","1,312","1,706"
당기순이익(지배),298,"1,207",765,905,88,"2,184","1,250","1,539"
당기순이익(비지배),10,-175,18,105,187,,,
자산총계,"22,045","25,733","29,329","33,409","33,456","36,554","37,821","39,794"
부채총계,"15,784","18,987","21,534","24,457","24,923","23,074","23,020","23,282"
자본총계,"6,260","6,745","7,795","8,952","8,533","13,481","14,800","16,512"
자본총계(지배),"6,066","6,488","7,496","8,291","7,723","12,513","13,717","15,343"
자본총계(비지배),194,258,,661,810,,,
자본금,"1,221","1,221","1,221","1,221","1,221","1,692","1,692","1,692"
영업활동현금흐름,"1,207","2,170","2,585","3,510","2,591","4,870","2,734","3,222"
투자활동현금흐름,"-3,743","-7,663","-3,066","-4,729","-2,034","-1,050","-2,048","-1,821"
재무활동현금흐름,"2,773","5,231",791,"1,363",-593,-187,367,"1,088"
CAPEX,"4,287","7,471","2,758","5,250","3,873","1,408","2,671","2,075"
FCF,"-3,080","-5,301",-173,"-1,739","-1,282","3,367",461,"1,245"
이자발생부채,"13,930","16,939","18,701","22,006","21,351",,,
영업이익률,8.16,6.22,10.51,12.81,16.51,17.41,16.74,18.13
순이익률,5.70,6.76,6.09,10.04,3.11,22.45,11.29,14.10
ROE(%),5.10,19.23,10.94,11.47,1.10,21.58,9.53,10.59
ROA(%),1.65,4.32,2.84,3.22,0.82,7.09,3.53,4.40
부채비율,252.14,281.49,276.27,273.20,292.07,171.16,155.54,141.00
자본유보율,144.66,236.88,301.55,357.52,365.06,,,
EPS(원),114,460,292,345,34,750,392,482
PER(배),14.11,4.63,6.95,6.21,84.53,3.40,6.51,5.29
BPS(원),"2,313","2,474","2,882","3,215","3,042","4,026","4,413","4,937"
PBR(배),0.69,0.86,0.70,0.67,0.93,0.63,0.58,0.52
현금DPS(원),0,0,0,0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"262,276,125","262,276,125","262,276,125","262,276,125","262,282,622",,,
