0,1,2,3,4,5,6,7,8
현대홈쇼핑(경기관련소비재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"9,694","10,431","10,177","20,604","22,987","23,099","24,510","25,300"
영업이익,"1,113","1,253","1,123","1,303","1,549","1,416","1,636","1,755"
영업이익(발표기준),"1,113","1,253","1,123","1,303","1,549",,,
세전계속사업이익,"1,741","1,618","1,856","1,257","1,609","2,122","2,395","2,485"
당기순이익,"1,295","1,225","1,666",832,"1,127","1,709","1,780","1,855"
당기순이익(지배),"1,295","1,225","1,666",832,"1,127","1,709","1,780","1,855"
당기순이익(비지배),,,,,,,,
자산총계,"19,030","18,754","25,627","25,038","26,886","28,265","29,370","30,640"
부채총계,"4,477","3,310","8,782","7,748","8,910","8,838","8,427","8,075"
자본총계,"14,553","15,444","16,845","17,290","17,976","19,426","20,965","22,565"
자본총계(지배),"14,553","15,444","16,845","17,290","17,976","19,426","20,965","22,565"
자본총계(비지배),,,,,,,,
자본금,600,600,600,600,600,600,600,600
영업활동현금흐름,928,279,18,324,"2,316","1,668","1,905","1,795"
투자활동현금흐름,"-1,945","1,227",583,-147,"-1,738",-19,-205,-200
재무활동현금흐름,718,"-1,258",-49,-637,377,-657,-490,-500
CAPEX,92,101,135,301,245,240,195,225
FCF,836,179,-117,23,"2,071","1,440","1,630","1,660"
이자발생부채,960,0,"2,306","2,531","3,498",,,
영업이익률,11.48,12.02,11.04,6.33,6.74,6.13,6.67,6.94
순이익률,13.35,11.74,16.37,4.04,4.90,7.40,7.26,7.33
ROE(%),9.21,8.16,10.32,4.87,6.39,9.14,8.81,8.52
ROA(%),7.25,6.48,7.51,3.28,4.35,6.20,6.18,6.18
부채비율,30.76,21.43,52.13,44.81,49.57,45.50,40.20,35.79
자본유보율,"2,360.69","2,535.32","2,771.35","2,864.44","3,017.80",,,
EPS(원),"10,788","10,205","13,881","6,931","9,393","14,242","14,833","15,458"
PER(배),10.34,11.81,7.13,11.61,8.68,4.32,4.12,3.95
BPS(원),"123,533","132,142","144,125","147,933","157,026","169,696","183,136","197,113"
PBR(배),0.90,0.91,0.69,0.54,0.52,0.36,0.33,0.31
현금DPS(원),"1,500","1,700","1,900","2,000","2,200","2,200","2,267","2,267"
현금배당수익률,1.35,1.41,1.92,2.48,2.70,3.58,3.71,3.71
현금배당성향(%),13.67,16.22,13.33,28.11,22.34,15.45,15.28,14.66
발행주식수(보통주),"12,000,000","12,000,000","12,000,000","12,000,000","12,000,000",,,
