0,1,2,3,4,5,6,7,8
하이트진로(필수소비재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"18,902","18,899","18,856","20,351","22,563","21,921","23,303","24,198"
영업이익,"1,240",872,904,882,"1,985","1,732","2,014","2,242"
영업이익(발표기준),"1,240",872,904,882,"1,985",,,
세전계속사업이익,612,397,420,4,"1,236","1,225","1,542","1,778"
당기순이익,384,127,223,-424,866,817,"1,095","1,265"
당기순이익(지배),384,127,222,-423,867,824,"1,094","1,266"
당기순이익(비지배),1,1,0,0,-1,,,
자산총계,"34,011","35,076","34,281","32,709","32,978","32,819","33,565","34,402"
부채총계,"21,092","22,901","22,658","22,377","22,235","21,769","21,938","22,022"
자본총계,"12,919","12,175","11,624","10,332","10,743","11,050","11,627","12,380"
자본총계(지배),"12,912","12,168","11,618","10,325","10,738","11,044","11,622","12,376"
자본총계(비지배),7,7,,7,5,,,
자본금,"3,688","3,688","3,688","3,688","3,688","3,689","3,689","3,689"
영업활동현금흐름,"1,847","3,449","1,410",283,"3,828","2,731","2,884","3,078"
투자활동현금흐름,-859,"-1,042","-1,014",-660,"-1,411","-1,386","-1,372","-1,299"
재무활동현금흐름,"-1,024","-1,058",-387,"-1,116","-1,166","-1,201",-833,-895
CAPEX,"1,239",923,"1,193","1,607","1,512","1,452","1,309","1,336"
FCF,608,"2,526",217,"-1,325","2,316","1,318","1,175","1,529"
이자발생부채,"10,899","10,475","10,652","11,715","11,019",,,
영업이익률,6.56,4.62,4.80,4.34,8.80,7.90,8.64,9.26
순이익률,2.03,0.67,1.18,-2.08,3.84,3.73,4.70,5.23
ROE(%),2.94,1.01,1.87,-3.86,8.23,7.57,9.65,10.55
ROA(%),1.12,0.37,0.64,-1.27,2.64,2.48,3.30,3.72
부채비율,163.26,188.10,194.92,216.58,206.98,197.01,188.68,177.89
자본유보율,271.98,254.67,240.09,202.85,214.28,,,
EPS(원),538,178,312,-594,"1,216","1,156","1,535","1,776"
PER(배),39.18,135.43,53.17,N/A,26.18,28.71,22.55,19.49
BPS(원),"18,504","17,437","16,648","14,796","15,388","15,826","16,655","17,734"
PBR(배),1.14,1.38,1.00,1.96,2.07,2.10,2.08,1.95
현금DPS(원),900,800,800,700,750,750,770,785
현금배당수익률,4.27,3.32,4.82,2.41,2.35,2.26,2.23,2.27
현금배당성향(%),163.80,440.64,251.17,-115.48,60.43,63.82,49.38,43.50
발행주식수(보통주),"70,133,611","70,133,611","70,133,611","70,133,611","70,133,611",,,
