0,1,2,3,4,5,6,7,8
파라다이스(경기관련소비재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"6,949","6,680","7,876","9,794","4,539","4,127","6,504","9,947"
영업이익,658,-300,24,519,-862,-439,176,"1,084"
영업이익(발표기준),658,-300,24,519,-862,,,
세전계속사업이익,754,-335,-429,155,"-1,754",-260,-348,571
당기순이익,576,-399,-441,67,"-1,669",-429,-310,466
당기순이익(지배),551,-190,-210,151,"-1,181",-281,-203,305
당기순이익(비지배),25,-209,-231,-84,-487,,,
자산총계,"23,080","24,353","31,508","34,704","33,135","33,418","33,673","34,840"
부채총계,"9,984","11,420","15,247","18,662","18,800","19,356","19,923","20,696"
자본총계,"13,097","12,933","16,261","16,042","14,336","14,062","13,750","14,144"
자본총계(지배),"10,441","9,942","12,722","12,663","11,444","11,293","11,088","11,321"
자본총계(비지배),"2,656","2,991",,"3,379","2,892",,,
자본금,470,470,470,470,470,470,470,470
영업활동현금흐름,"1,122",40,"1,064","1,568","-1,558",630,"1,362","2,102"
투자활동현금흐름,"-4,991","-2,075","-2,237","-2,225",-987,625,-744,-794
재무활동현금흐름,"2,302","1,936","1,513",796,"1,750",244,-297,-131
CAPEX,"4,898","3,573","2,710",849,87,692,570,520
FCF,"-3,776","-3,533","-1,646",719,"-1,645",390,698,"1,456"
이자발생부채,"7,068","8,735","10,061","13,438","15,181",,,
영업이익률,9.47,-4.48,0.31,5.30,-18.98,-10.64,2.70,10.90
순이익률,8.29,-5.97,-5.61,0.69,-36.77,-10.39,-4.76,4.68
ROE(%),5.33,-1.86,-1.86,1.19,-9.80,-2.48,-1.81,2.72
ROA(%),2.68,-1.68,-1.58,0.20,-4.92,-1.29,-0.92,1.36
부채비율,76.23,88.30,93.76,116.33,131.14,137.65,144.89,146.32
자본유보율,"2,172.91","2,073.31","1,994.78","1,997.09","1,738.78",,,
EPS(원),606,-208,-231,166,"-1,299",-309,-223,335
PER(배),20.04,N/A,N/A,118.91,N/A,N/A,N/A,49.53
BPS(원),"12,257","11,671","14,935","14,865","13,379","13,204","12,963","13,236"
PBR(배),0.99,1.91,1.26,1.33,1.14,1.26,1.28,1.25
현금DPS(원),300,100,100,100,,0,60,100
현금배당수익률,2.47,0.45,0.53,0.51,,0.00,0.36,0.60
현금배당성향(%),46.36,-44.95,-40.47,56.39,0.00,,-26.88,29.84
발행주식수(보통주),"90,942,672","90,942,672","90,942,672","90,942,672","90,942,672",,,
