0,1,2,3,4,5,6,7,8
현대미포조선(산업재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"34,465","24,534","24,030","29,941","27,920","28,392","35,452","39,740"
영업이익,"1,911","1,079",709,926,367,"-1,486","1,068","2,097"
영업이익(발표기준),"2,075","1,079",709,926,367,,,
세전계속사업이익,"1,910","7,333","1,175",856,-201,"-1,191","1,048","2,161"
당기순이익,396,"4,452","1,207",612,-123,-935,799,"1,635"
당기순이익(지배),346,"4,369",850,533,-195,-947,752,"1,565"
당기순이익(비지배),50,82,356,79,72,,,
자산총계,"92,263","83,194","34,637","33,806","35,990","37,527","39,492","41,834"
부채총계,"69,679","59,803","11,466","10,267","12,315","14,678","16,060","16,934"
자본총계,"22,584","23,391","23,172","23,540","23,675","22,848","23,433","24,900"
자본총계(지배),"21,425","22,168","22,896","23,175","23,266","22,412","22,944","24,400"
자본총계(비지배),"1,159","1,224",,365,409,,,
자본금,"1,000","1,000","1,997","1,997","1,997","1,999","1,999","1,999"
영업활동현금흐름,"5,297","-6,793","5,185",-724,"2,560","1,623","1,583","2,244"
투자활동현금흐름,"1,076","7,414",-107,767,826,"-1,571",-687,-752
재무활동현금흐름,"-4,899","-2,050","-7,977",-852,-32,-282,-244,-229
CAPEX,302,654,"4,771",825,822,645,739,768
FCF,"4,994","-7,448",414,"-1,549","1,738",566,83,"1,214"
이자발생부채,"53,533","4,624","2,830","2,305","2,355",,,
영업이익률,5.54,4.40,2.95,3.09,1.31,-5.23,3.01,5.28
순이익률,1.15,18.14,5.02,2.04,-0.44,-3.29,2.25,4.11
ROE(%),1.81,20.05,3.77,2.31,-0.84,-4.15,3.32,6.61
ROA(%),0.42,5.07,2.05,1.79,-0.35,-2.54,2.07,4.02
부채비율,308.54,255.66,49.48,43.61,52.02,64.24,68.54,68.01
자본유보율,"1,362.19","1,801.36",950.86,964.36,943.80,,,
EPS(원),866,"10,939","2,128","1,333",-488,"-2,371","1,883","3,918"
PER(배),38.92,3.61,28.19,34.54,N/A,N/A,38.28,18.40
BPS(원),"53,717","55,580","57,405","58,106","58,333","56,192","57,527","61,176"
PBR(배),0.63,0.71,1.05,0.79,0.82,1.27,1.25,1.18
현금DPS(원),0,0,700,350,,29,305,505
현금배당수익률,0.00,0.00,1.17,0.76,,0.04,0.42,0.70
현금배당성향(%),0.00,0.00,32.84,26.21,0.00,-1.23,16.21,12.90
발행주식수(보통주),"39,942,149","39,942,149","39,942,149","39,942,149","39,942,149",,,
