0,1,2,3,4,5,6,7,8
현대그린푸드(경기관련소비재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"25,217","25,340","32,517","31,243","32,385","34,290","35,412","36,333"
영업이익,"1,052",871,"1,372",899,786,711,794,870
영업이익(발표기준),"1,052",871,"1,372",899,786,,,
세전계속사업이익,"1,387","1,607","1,823",986,"1,035","1,356","1,456","1,548"
당기순이익,"1,053","1,215","1,272",639,816,"1,004","1,083","1,148"
당기순이익(지배),949,"1,134","1,031",548,711,881,956,"1,012"
당기순이익(비지배),104,81,241,91,104,,,
자산총계,"21,817","27,969","28,374","29,666","30,685","31,768","32,826","33,922"
부채총계,"5,747","7,535","7,263","8,502","8,783","8,990","9,098","9,178"
자본총계,"16,071","20,434","21,111","21,164","21,902","22,778","23,728","24,744"
자본총계(지배),"15,096","16,739","17,082","17,172","17,812","18,576","19,409","20,299"
자본총계(비지배),975,"3,694",,"3,991","4,090",,,
자본금,489,489,489,489,489,490,490,490
영업활동현금흐름,"1,733","1,064",954,"1,772","1,674","1,815","1,858","1,860"
투자활동현금흐름,-964,-829,-984,"-1,242","-1,516",-679,-521,-508
재무활동현금흐름,-666,-54,86,-394,-81,-264,-262,-264
CAPEX,178,240,716,"1,321","1,102",,,
FCF,"1,556",825,239,450,572,950,"1,205","1,239"
이자발생부채,327,373,348,964,"1,429",,,
영업이익률,4.17,3.44,4.22,2.88,2.43,2.07,2.24,2.40
순이익률,4.17,4.79,3.91,2.05,2.52,2.93,3.06,3.16
ROE(%),6.39,7.12,6.10,3.20,4.07,4.84,5.03,5.10
ROA(%),5.09,4.88,4.52,2.20,2.70,3.22,3.35,3.44
부채비율,35.76,36.88,34.40,40.17,40.10,39.47,38.34,37.09
자본유보율,"2,693.86","3,033.20","3,231.48","3,276.46","3,381.21",,,
EPS(원),971,"1,161","1,056",561,728,902,978,"1,035"
PER(배),15.86,12.88,13.55,21.13,12.03,9.12,8.41,7.94
BPS(원),"17,293","19,173","19,565","19,669","20,402","21,276","22,231","23,250"
PBR(배),0.89,0.78,0.73,0.60,0.43,0.39,0.37,0.35
현금DPS(원),60,80,210,210,210,210,210,210
현금배당수익률,0.39,0.54,1.47,1.77,2.40,2.55,2.55,2.55
현금배당성향(%),5.52,6.16,17.78,33.46,25.77,23.29,21.47,20.29
발행주식수(보통주),"97,704,482","97,704,482","97,704,482","97,704,482","97,704,482",,,
