0,1,2,3,4,5,6,7,8
더블유게임즈(커뮤니케이션서비스),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"1,556","3,193","4,830","5,138","6,582","6,358","6,720","7,312"
영업이익,449,810,"1,358","1,546","1,942","1,993","2,155","2,426"
영업이익(발표기준),449,810,"1,358","1,546","1,942",,,
세전계속사업이익,534,383,"1,174","1,380","1,691","2,074","2,204","2,471"
당기순이익,487,356,878,"1,103","1,248","1,620","1,699","1,912"
당기순이익(지배),488,354,878,"1,103","1,123","1,324","1,418","1,546"
당기순이익(비지배),-1,3,,,125,,,
자산총계,"4,370","9,972","9,968","10,747","10,232","13,605","15,081","17,066"
부채총계,587,"5,926","4,785","4,276",953,"1,215","1,195","1,266"
자본총계,"3,782","4,046","5,183","6,472","9,279","12,390","13,886","15,800"
자본총계(지배),"3,782","4,046","5,183","6,472","6,784","8,780","10,233","11,893"
자본총계(비지배),0,,,,"2,494",,,
자본금,86,88,91,91,92,90,90,90
영업활동현금흐름,543,824,"1,563","1,644","2,018","1,688","1,918","2,094"
투자활동현금흐름,"-1,059","-5,968",34,-502,-228,"-1,260",-333,-414
재무활동현금흐름,-64,"5,246","-1,431","-1,102","-1,648","1,152",-101,-113
CAPEX,4,6,7,11,5,68,54,64
FCF,538,818,"1,556","1,634","2,013","1,515","1,620","1,680"
이자발생부채,435,"5,492","4,238","3,689",218,,,
영업이익률,28.82,25.37,28.11,30.09,29.50,31.34,32.07,33.18
순이익률,31.30,11.16,18.17,21.46,18.96,25.48,25.28,26.14
ROE(%),,9.04,19.02,18.93,16.94,17.02,14.92,13.97
ROA(%),,4.97,8.80,10.65,11.90,13.59,11.84,11.89
부채비율,15.53,146.45,92.33,66.07,10.27,9.81,8.61,8.01
자본유보율,"4,612.25","5,192.30","6,059.62","7,201.94","7,861.02",,,
EPS(원),"2,847","2,027","4,869","6,040","6,127","7,208","7,718","8,411"
PER(배),14.00,25.50,12.28,8.25,9.82,7.14,6.57,6.03
BPS(원),"23,957","24,982","30,760","38,381","39,966","51,722","60,283","70,062"
PBR(배),1.66,2.07,1.94,1.30,1.51,1.00,0.84,0.72
현금DPS(원),650,350,350,350,350,343,352,366
현금배당수익률,1.63,0.68,0.59,0.70,0.58,0.67,0.69,0.72
현금배당성향(%),21.07,16.03,6.72,5.35,5.29,4.76,4.56,4.35
발행주식수(보통주),"17,184,556","17,595,514","18,247,298","18,260,502","18,374,502",,,
