0,1,2,3,4,5,6,7,8
한샘(산업재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"19,345","20,625","19,285","16,984","20,675","22,299","23,816","25,762"
영업이익,"1,596","1,405",560,558,931,945,"1,061","1,227"
영업이익(발표기준),"1,596","1,405",560,558,931,,,
세전계속사업이익,"1,701","1,382","1,247",745,955,"1,046","1,175","1,352"
당기순이익,"1,275",959,900,427,668,773,857,985
당기순이익(지배),"1,275",960,900,427,651,758,840,958
당기순이익(비지배),0,0,0,0,18,,,
자산총계,"8,994","9,757","9,402","12,026","12,295","12,762","13,344","14,049"
부채총계,"3,579","4,681","3,657","5,893","6,006","5,971","6,179","6,309"
자본총계,"5,415","5,076","5,745","6,133","6,289","6,792","7,165","7,741"
자본총계(지배),"5,414","5,075","5,744","5,934","6,079","6,554","6,886","7,442"
자본총계(비지배),1,1,,199,210,,,
자본금,235,235,235,235,235,238,238,238
영업활동현금흐름,"1,540",662,637,794,"1,931",805,"1,333","1,408"
투자활동현금흐름,-534,"-1,543",501,180,"-1,001",103,-618,-585
재무활동현금흐름,-201,172,"-1,079",-348,"-1,321",-652,-443,-514
CAPEX,315,"1,166",119,185,160,326,422,370
FCF,"1,225",-504,518,609,"1,771",722,719,856
이자발생부채,200,"1,507",639,"2,879","2,390",,,
영업이익률,8.25,6.81,2.91,3.28,4.50,4.24,4.45,4.76
순이익률,6.59,4.65,4.67,2.51,3.23,3.47,3.60,3.82
ROE(%),26.12,18.30,16.63,7.32,10.83,12.00,12.51,13.37
ROA(%),15.29,10.23,9.39,3.99,5.50,6.17,6.56,7.19
부채비율,66.09,92.21,63.66,96.09,95.50,87.91,86.25,81.50
자본유보율,"2,410.56","2,718.45","2,999.76","3,113.32","3,299.73",,,
EPS(원),"5,419","4,077","3,823","1,815","2,765","3,221","3,571","4,069"
PER(배),36.72,44.15,17.63,34.26,37.79,23.41,20.30,17.82
BPS(원),"29,947","28,788","32,581","33,659","35,223","38,481","40,662","43,946"
PBR(배),6.64,6.25,2.07,1.85,2.97,1.96,1.78,1.65
현금DPS(원),"1,100","1,200","1,200","1,200","1,300","1,633","2,222","2,456"
현금배당수익률,0.55,0.67,1.78,1.93,1.24,2.17,3.07,3.39
현금배당성향(%),15.59,22.05,23.51,49.52,34.48,50.71,62.23,60.35
발행주식수(보통주),"23,533,928","23,533,928","23,533,928","23,533,928","23,533,928",,,
