0,1,2,3,4,5,6,7,8
대신증권(금융),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"41,346","35,484","25,570","26,967","28,680",,,
영업이익,833,"1,330","1,585",997,"2,392","9,110","2,530","2,800"
영업이익(발표기준),833,"1,330","1,585",997,"2,392",,,
세전계속사업이익,861,"1,513","1,893","1,291","2,194","8,960","2,530","2,800"
당기순이익,740,"1,159","1,407",940,"1,470","6,790","1,920","2,120"
당기순이익(지배),740,"1,159","1,408",947,"1,482","6,800","1,920","2,120"
당기순이익(비지배),0,0,-1,-8,-11,,,
자산총계,"176,926","174,468","191,513","194,373","215,038","342,790","306,280","305,360"
부채총계,"159,145","155,789","171,504","174,202","194,265","316,010","278,530","276,300"
자본총계,"17,781","18,679","20,009","20,170","20,774","26,790","27,760","29,060"
자본총계(지배),"17,780","18,677","19,692","19,845","20,483","26,470","27,440","28,740"
자본총계(비지배),1,2,317,326,291,,,
자본금,"4,349","4,349","4,349","4,349","4,349",,,
영업활동현금흐름,"-7,944","-6,436","-15,981","-7,223","-4,794",,,
투자활동현금흐름,"1,953","-1,866",-98,340,-769,,,
재무활동현금흐름,"7,190","8,439","18,935","9,100","4,447",,,
CAPEX,"1,013",767,191,449,132,,,
FCF,,,,,,,,
이자발생부채,"33,973","41,860","54,370","58,288","61,511",,,
영업이익률,2.02,3.75,6.20,3.70,8.34,,,
순이익률,1.79,3.27,5.50,3.48,5.13,,,
ROE(%),4.22,6.36,7.34,4.79,7.35,28.97,7.12,7.55
ROA(%),0.41,0.66,0.77,0.49,0.72,2.43,0.59,0.69
부채비율,895.05,834.04,857.14,863.65,935.15,"1,179.58","1,003.35",950.79
자본유보율,350.75,370.72,400.48,415.00,434.22,,,
EPS(원),853,"1,336","1,623","1,092","1,707","7,836","2,213","2,443"
PER(배),12.19,10.78,6.99,10.95,7.61,2.17,7.68,6.96
BPS(원),"24,952","26,135","27,460","29,197","30,963","39,693","41,147","43,097"
PBR(배),0.42,0.55,0.41,0.41,0.42,0.43,0.41,0.39
현금DPS(원),550,610,620,"1,000","1,200","1,400","1,200","1,200"
현금배당수익률,5.29,4.24,5.46,8.37,9.23,8.24,7.06,7.06
현금배당성향(%),54.39,38.54,32.33,72.88,54.29,10.45,31.73,28.74
발행주식수(보통주),"50,773,400","50,773,400","50,773,400","50,773,400","50,773,400",,,
