0,1,2,3,4,5,6,7,8
한진(산업재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"17,648","18,126","19,508","20,623","22,157","23,620","27,290","29,140"
영업이익,-153,216,421,907,"1,059","1,000","1,320","1,480"
영업이익(발표기준),-153,216,421,907,"1,059",,,
세전계속사업이익,671,-468,673,-57,108,"2,910",740,910
당기순이익,376,-470,456,-29,91,"2,150",550,680
당기순이익(지배),396,-449,457,-31,74,"2,040",520,640
당기순이익(비지배),-20,-21,-1,3,17,,,
자산총계,"25,376","24,538","26,614","35,484","37,887","39,040","38,680","39,120"
부채총계,"17,673","15,846","15,943","24,945","25,507","24,440","23,550","23,360"
자본총계,"7,703","8,692","10,671","10,539","12,379","14,600","15,130","15,760"
자본총계(지배),"7,553","7,172","9,165","9,097","10,914","12,870","13,340","13,900"
자본총계(비지배),149,"1,520","1,506","1,442","1,465",,,
자본금,599,599,599,599,747,750,750,750
영업활동현금흐름,409,319,"1,161","1,672","2,412","3,410","1,760","1,900"
투자활동현금흐름,367,"1,534",-570,-771,"-1,122",580,580,"1,080"
재무활동현금흐름,-841,"-2,337",-62,"-1,203","-1,366","-1,880","-1,620","-1,110"
CAPEX,701,731,825,"1,032","1,727",,,
FCF,-292,-412,336,641,685,360,640,"1,230"
이자발생부채,"13,102","10,561","10,946","20,094","19,062",,,
영업이익률,-0.87,1.19,2.16,4.40,4.78,4.23,4.84,5.08
순이익률,2.13,-2.59,2.34,-0.14,0.41,9.10,2.02,2.33
ROE(%),5.37,-6.10,5.60,-0.34,0.74,17.15,3.97,4.70
ROA(%),1.49,-1.88,1.78,-0.09,0.25,5.59,1.42,1.75
부채비율,229.44,182.30,149.40,236.69,206.05,167.40,155.65,148.22
자본유보율,"1,114.18","1,038.32","1,119.59","1,107.01","1,016.83",,,
EPS(원),"3,144","-3,569","3,632",-248,574,"13,648","3,479","4,282"
PER(배),8.72,N/A,14.10,N/A,83.21,2.21,8.44,6.85
BPS(원),"60,848","57,778","73,829","72,285","73,015","88,947","92,196","96,066"
PBR(배),0.45,0.43,0.69,0.40,0.65,0.34,0.32,0.31
현금DPS(원),381,381,476,476,600,600,600,600
현금배당수익률,1.39,1.54,0.93,1.67,1.26,1.99,2.04,2.04
현금배당성향(%),11.93,-10.51,12.91,-191.61,120.71,4.40,17.25,14.01
발행주식수(보통주),"12,584,834","12,584,834","12,584,834","12,584,834","14,947,628",,,
