0,1,2,3,4,5,6,7,8
한솔케미칼(소재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"4,604","5,216","5,819","5,443","6,193","7,651","8,976","10,642"
영업이익,821,792,936,"1,112","1,519","2,058","2,423","2,900"
영업이익(발표기준),821,792,936,"1,112","1,519",,,
세전계속사업이익,774,747,925,"1,173","1,608","2,192","2,566","3,032"
당기순이익,589,581,678,910,"1,301","1,681","1,963","2,334"
당기순이익(지배),558,543,705,865,"1,227","1,604","1,907","2,276"
당기순이익(비지배),31,38,-27,46,74,,,
자산총계,"6,997","7,233","7,917","9,392","9,992","11,351","13,086","15,999"
부채총계,"3,586","3,325","3,445","4,186","3,769","3,661","3,683","4,521"
자본총계,"3,411","3,909","4,472","5,206","6,223","7,691","9,403","11,478"
자본총계(지배),"2,824","3,207","3,798","4,486","5,532","6,931","8,611","10,624"
자본총계(비지배),588,701,,720,691,,,
자본금,565,565,565,565,565,567,567,568
영업활동현금흐름,969,874,"1,006","1,016","1,650","1,753","2,132","2,574"
투자활동현금흐름,"-1,468",-329,"-1,215","-1,401",-514,"-1,010",-965,-976
재무활동현금흐름,626,-295,-146,812,-716,-431,-298,21
CAPEX,384,310,"1,182",716,852,940,772,778
FCF,585,564,-177,300,798,868,"1,263","1,719"
이자발생부채,"2,502","2,185","2,168","3,183","2,552",,,
영업이익률,17.84,15.18,16.08,20.42,24.53,26.90,26.99,27.25
순이익률,12.80,11.13,11.64,16.72,21.00,21.97,21.87,21.94
ROE(%),21.29,17.99,20.12,20.88,24.50,25.75,24.52,23.66
ROA(%),9.65,8.16,8.94,10.52,13.42,15.75,16.07,16.05
부채비율,105.12,85.06,77.03,80.42,60.57,47.60,39.16,39.38
자본유보율,398.76,473.38,590.15,712.46,887.81,,,
EPS(원),"4,942","4,804","6,238","7,655","10,864","14,157","16,821","20,079"
PER(배),16.86,15.09,12.42,13.85,18.09,15.86,13.26,11.11
BPS(원),"25,465","28,926","34,251","40,454","49,890","62,286","77,383","95,470"
PBR(배),3.27,2.51,2.26,2.62,3.94,3.60,2.88,2.34
현금DPS(원),"1,000","1,000","1,200","1,500","1,800","1,957","2,167","2,575"
현금배당수익률,1.20,1.38,1.55,1.42,0.92,0.87,0.97,1.15
현금배당성향(%),19.86,20.44,18.88,19.24,16.26,13.83,12.88,12.82
발행주식수(보통주),"11,295,195","11,295,195","11,295,195","11,295,195","11,295,195",,,
