0,1,2,3,4,5,6,7,8
금호타이어(경기관련소비재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"29,472","28,764","25,587","23,692","21,707","25,673","28,983","32,660"
영업이익,"1,118","-1,642",-982,574,-45,-460,"1,013","1,755"
영업이익(발표기준),"1,118","-1,642",-982,574,-45,,,
세전계속사업이익,-265,"-1,323","-1,937",-390,-869,"-1,250",487,"1,375"
당기순이익,-266,"-1,123","-1,919",-434,-829,"-1,143",413,"1,205"
당기순이익(지배),-275,"-1,258","-1,837",-434,-829,"-1,137",427,"1,200"
당기순이익(비지배),9,135,-82,,,,,
자산총계,"51,301","45,436","42,214","39,295","38,462","39,903","41,150","45,855"
부채총계,"39,813","36,146","28,797","26,368","26,786","28,803","29,623","32,875"
자본총계,"11,487","9,290","13,417","12,926","11,676","11,100","11,527","12,980"
자본총계(지배),"10,406","8,953","13,417","12,926","11,676","10,810","11,235","12,435"
자본총계(비지배),"1,081",337,,,,,,
자본금,"7,900","7,900","14,363","14,363","14,363","14,360","14,360","14,360"
영업활동현금흐름,"2,074",514,932,"1,465","2,243",170,"2,770","3,740"
투자활동현금흐름,"-2,649",-837,"-1,672",-982,-765,"-1,003","-1,977","-2,850"
재무활동현금흐름,-135,247,"1,924","-2,136","-1,006",733,163,905
CAPEX,"3,655","2,899","1,588",895,908,"1,100","1,813","2,670"
FCF,"-1,581","-2,384",-656,570,"1,335",-245,"1,040",860
이자발생부채,"27,998","24,907","19,863","18,968","18,054",,,
영업이익률,3.79,-5.71,-3.84,2.42,-0.21,-1.79,3.50,5.37
순이익률,-0.90,-3.91,-7.50,-1.83,-3.82,-4.45,1.43,3.69
ROE(%),-2.51,-13.00,-16.43,-3.29,-6.74,-10.11,3.87,10.14
ROA(%),-0.51,-2.32,-4.38,-1.06,-2.13,-2.92,1.02,2.77
부채비율,346.59,389.06,214.62,203.99,229.41,259.49,257.00,253.27
자본유보율,30.15,14.68,-6.18,-10.36,-17.91,,,
EPS(원),-174,-796,-830,-151,-289,-396,149,418
PER(배),N/A,N/A,N/A,N/A,N/A,N/A,27.07,9.62
BPS(원),"6,586","5,667","4,671","4,500","4,065","3,763","3,911","4,329"
PBR(배),1.29,0.78,1.14,0.93,0.93,1.07,1.03,0.93
현금DPS(원),0,0,,,,0,0,0
현금배당수익률,0.00,0.00,,,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"157,993,158","157,993,158","287,260,287","287,260,287","287,260,287",,,
