0,1,2,3,4,5,6,7,8
삼성화재(금융),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"216,861","220,136","222,090","229,068","240,449",,,
영업이익,"10,712","12,576","14,508","8,659","10,444",,,
영업이익(발표기준),"10,712","12,576","14,508","8,659","10,444",,,
세전계속사업이익,"11,198","14,307","14,563","8,696","10,281","15,030","13,780","14,610"
당기순이익,"8,606","10,553","10,707","6,456","7,573","11,140","10,080","10,690"
당기순이익(지배),"8,580","10,527","10,679","6,430","7,550","11,110","10,050","10,660"
당기순이익(비지배),27,26,28,26,23,,,
자산총계,"682,175","760,152","793,907","851,722","925,964","937,050","944,070","961,730"
부채총계,"572,093","640,069","670,251","708,507","763,138","783,640","786,480","798,590"
자본총계,"110,082","120,083","123,655","143,214","162,825","153,410","157,590","163,140"
자본총계(지배),"109,908","119,912","123,465","142,999","162,610","153,190","157,360","162,920"
자본총계(비지배),175,171,,216,216,,,
자본금,265,265,265,265,265,,,
영업활동현금흐름,"16,462","25,948","21,262","9,099","14,839",,,
투자활동현금흐름,"-11,416","-20,286","-14,527","-9,875","-2,842",,,
재무활동현금흐름,"-4,177","-2,601","-4,256","-5,611","-4,887",,,
CAPEX,"1,252",769,376,347,232,,,
FCF,,,,,,,,
이자발생부채,0,0,0,0,0,,,
영업이익률,4.94,5.71,6.53,3.78,4.34,,,
순이익률,3.97,4.79,4.82,2.82,3.15,,,
ROE(%),8.17,9.18,8.80,4.85,4.96,7.04,6.47,6.66
ROA(%),1.31,1.46,1.38,0.78,0.85,1.20,1.07,1.12
부채비율,519.70,533.02,542.03,494.72,468.68,510.81,499.07,489.51
자본유보율,"47,085.96","50,863.51","52,212.98","59,601.17","67,008.97",,,
EPS(원),"16,967","20,819","21,119","12,716","14,931","21,971","19,875","21,081"
PER(배),15.82,12.82,12.74,19.15,12.56,9.51,10.87,10.25
BPS(원),"258,548","282,083","290,441","336,392","382,525","360,366","370,176","383,255"
PBR(배),1.04,0.95,0.93,0.72,0.49,0.58,0.58,0.56
현금DPS(원),"6,100","10,000","11,500","8,500","8,800","13,242","12,325","13,027"
현금배당수익률,2.27,3.75,4.28,3.49,4.69,6.34,5.71,6.03
현금배당성향(%),30.23,40.38,45.78,56.20,49.55,56.46,58.10,57.89
발행주식수(보통주),"47,374,837","47,374,837","47,374,837","47,374,837","47,374,837",,,
