0,1,2,3,4,5,6,7,8
호텔신라(경기관련소비재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"37,153","35,147","47,137","57,173","31,881","36,631","46,045","54,448"
영업이익,790,731,"2,091","2,959","-1,853","1,238","1,864","2,587"
영업이익(발표기준),790,731,"2,091","2,959","-1,853",,,
세전계속사업이익,524,448,"1,470","2,256","-3,607",395,"1,233","1,915"
당기순이익,278,253,"1,103","1,694","-2,833",257,932,"1,449"
당기순이익(지배),278,253,"1,103","1,697","-2,834",256,915,"1,447"
당기순이익(비지배),,0,0,-3,1,,,
자산총계,"20,410","22,192","23,037","35,273","28,938","28,648","30,753","33,900"
부채총계,"13,794","15,510","15,387","26,077","22,699","22,544","23,825","25,600"
자본총계,"6,615","6,681","7,651","9,195","6,240","6,151","6,927","8,300"
자본총계(지배),"6,615","6,675","7,644","9,192","6,235","6,104","7,069","8,619"
자본총계(비지배),,7,7,4,4,,,
자본금,"2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000"
영업활동현금흐름,"1,208","2,072","1,539","4,037",-517,"1,436","2,185","2,510"
투자활동현금흐름,"1,481","-1,621","-1,028",-926,"-2,602",-487,"-1,581","-1,691"
재무활동현금흐름,"-2,450",853,"-2,447",-872,478,-967,-98,181
CAPEX,668,649,778,658,478,477,919,951
FCF,540,"1,423",761,"3,379",-994,"1,187","1,766","1,435"
이자발생부채,"7,515","8,701","6,589","15,615","16,314",,,
영업이익률,2.13,2.08,4.44,5.17,-5.81,3.38,4.05,4.75
순이익률,0.75,0.72,2.34,2.96,-8.89,0.70,2.02,2.66
ROE(%),3.96,3.81,15.41,20.16,-36.74,4.15,13.89,18.45
ROA(%),1.32,1.19,4.88,5.81,-8.82,0.89,3.15,4.48
부채비율,208.52,232.14,201.12,283.59,363.79,366.49,343.94,308.41
자본유보율,283.93,289.06,335.96,411.78,269.18,,,
EPS(원),696,632,"2,758","4,243","-7,085",639,"2,288","3,618"
PER(배),69.20,134.31,27.74,21.40,N/A,117.29,34.45,21.78
BPS(원),"17,476","17,633","20,194","24,282","16,472","16,125","18,674","22,771"
PBR(배),2.76,4.81,3.79,3.74,5.00,4.65,4.22,3.46
현금DPS(원),350,350,350,350,200,208,229,257
현금배당수익률,0.73,0.41,0.46,0.39,0.24,0.28,0.29,0.33
현금배당성향(%),47.74,52.54,12.04,7.83,-2.68,31.87,9.80,6.97
발행주식수(보통주),"39,248,121","39,248,121","39,248,121","39,248,121","39,248,121",,,
