0,1,2,3,4,5,6,7,8
서연이화(경기관련소비재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"24,029","20,075","18,508","19,768","19,624","21,340","23,290","23,980"
영업이익,"1,078",-122,120,219,485,760,690,730
영업이익(발표기준),"1,078",-122,120,219,485,,,
세전계속사업이익,"1,379",-270,196,-392,-304,800,650,700
당기순이익,939,304,-81,-483,-408,560,520,550
당기순이익(지배),914,341,-66,-465,-413,560,520,550
당기순이익(비지배),25,-37,-15,-18,4,,,
자산총계,"18,018","17,648","16,962","18,205","18,038","19,160","20,110","20,810"
부채총계,"11,222","10,922","10,296","11,989","11,718","12,310","12,770","12,940"
자본총계,"6,796","6,727","6,666","6,216","6,321","6,850","7,340","7,870"
자본총계(지배),"6,684","6,669","6,545","6,111","6,029","6,560","7,050","7,580"
자본총계(비지배),112,58,,106,291,,,
자본금,135,135,135,135,135,140,140,140
영업활동현금흐름,"1,165","1,409",-302,"1,916","1,153","1,360","1,490","1,660"
투자활동현금흐름,"-1,459",-914,"-2,051","-2,921","-1,245","-1,520","-1,540","-1,510"
재무활동현금흐름,261,482,620,802,495,140,-30,-30
CAPEX,"1,560","1,385","1,801","2,834","1,264","1,370","1,400","1,400"
FCF,-395,24,"-2,103",-918,-111,-160,-50,150
이자발생부채,"5,259","5,100","5,187","6,099","6,090",,,
영업이익률,4.49,-0.61,0.65,1.11,2.47,3.56,2.96,3.04
순이익률,3.91,1.51,-0.44,-2.44,-2.08,2.62,2.23,2.29
ROE(%),14.40,5.12,-1.00,-7.35,-6.80,8.90,7.64,7.52
ROA(%),5.36,1.70,-0.47,-2.75,-2.25,3.01,2.65,2.69
부채비율,165.12,162.36,154.45,192.88,185.39,179.71,173.98,164.42
자본유보율,"4,643.75","4,837.96","4,727.21","4,347.27","4,278.81",,,
EPS(원),"3,382","1,263",-245,"-1,721","-1,527","2,072","1,924","2,035"
PER(배),4.14,7.95,N/A,N/A,N/A,3.33,3.66,3.46
BPS(원),"24,734","24,678","24,219","22,612","22,312","24,276","26,089","28,050"
PBR(배),0.57,0.41,0.18,0.22,0.33,0.28,0.27,0.25
현금DPS(원),150,150,100,100,100,100,100,100
현금배당수익률,1.07,1.49,2.25,2.03,1.37,1.45,1.42,1.42
현금배당성향(%),4.43,11.87,-40.89,-5.81,-6.55,4.83,5.20,4.91
발행주식수(보통주),"27,028,437","27,028,437","27,028,437","27,028,437","27,028,437",,,
