0,1,2,3,4,5,6,7,8
대상(필수소비재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"28,550","29,688","29,568","29,640","31,132","33,742","35,036","36,350"
영업이익,"1,111",967,"1,202","1,298","1,744","1,540","1,695","1,861"
영업이익(발표기준),"1,111",967,"1,202","1,298","1,744",,,
세전계속사업이익,819,835,"1,191","1,506","1,908","1,352","1,518","1,688"
당기순이익,601,518,654,"1,089","1,270","1,039","1,141","1,269"
당기순이익(지배),646,527,649,"1,072","1,251","1,032","1,136","1,263"
당기순이익(비지배),-46,-10,5,17,19,,,
자산총계,"23,085","22,524","21,990","23,896","25,283","26,572","27,670","28,575"
부채총계,"14,412","13,680","12,703","13,749","14,268","14,810","15,067","15,005"
자본총계,"8,673","8,844","9,287","10,147","11,016","11,762","12,603","13,570"
자본총계(지배),"8,482","8,710","9,151","9,973","10,835","11,570","12,407","13,374"
자본총계(비지배),191,135,,174,180,,,
자본금,360,360,360,360,360,360,360,360
영업활동현금흐름,548,"1,662","1,216","1,673","1,211","1,720","2,075","2,245"
투자활동현금흐름,"-2,203",-677,-234,-498,"1,298",-863,-985,-998
재무활동현금흐름,967,"-1,094",-752,-551,316,-156,-232,-566
CAPEX,"1,172","1,390","1,456","1,098","1,038","1,142","1,070","1,080"
FCF,-625,272,-240,575,173,"1,204",954,"1,106"
이자발생부채,"9,576","8,511","7,953","8,356","8,708",,,
영업이익률,3.89,3.26,4.06,4.38,5.60,4.57,4.84,5.12
순이익률,2.10,1.74,2.21,3.67,4.08,3.08,3.26,3.49
ROE(%),7.87,6.13,7.27,11.21,12.02,9.21,9.47,9.80
ROA(%),2.72,2.27,2.94,4.75,5.17,4.01,4.21,4.51
부채비율,166.18,154.67,136.78,135.49,129.53,125.91,119.55,110.57
자본유보율,"2,353.67","2,475.36","2,626.23","2,825.09","3,116.44",,,
EPS(원),"1,794","1,464","1,801","2,976","3,473","2,864","3,153","3,507"
PER(배),14.72,18.82,13.91,7.79,7.50,7.91,7.18,6.46
BPS(원),"23,549","24,181","25,405","27,689","30,083","32,124","34,446","37,130"
PBR(배),1.12,1.14,0.99,0.84,0.87,0.71,0.66,0.61
현금DPS(원),400,500,550,600,700,700,700,700
현금배당수익률,1.52,1.81,2.20,2.59,2.69,3.09,3.09,3.09
현금배당성향(%),22.32,34.18,30.56,20.17,20.16,23.51,21.36,19.20
발행주식수(보통주),"34,411,575","34,648,025","34,648,025","34,648,025","34,648,025",,,
