0,1,2,3,4,5,6,7,8
대한항공(산업재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"117,319","120,922","130,116","123,843","76,062","88,277","109,796","134,170"
영업이익,"11,208","9,398","6,712","1,761","1,089","12,306","12,932","12,063"
영업이익(발표기준),"11,208","9,398","6,712","1,761","1,089",,,
세전계속사업이익,"-7,174","11,217","-1,777","-8,148","-9,341","7,142","10,067","7,472"
당기순이익,"-5,568","8,019","-1,611","-6,228","-2,300","5,212","7,497","5,593"
당기순이익(지배),"-5,649","7,915","-1,685","-6,291","-2,115","5,120","7,325","5,375"
당기순이익(비지배),80,104,74,63,-185,,,
자산총계,"239,565","246,487","258,425","270,141","251,901","265,205","269,952","279,385"
부채총계,"220,822","208,976","226,799","242,333","218,783","195,121","194,831","198,374"
자본총계,"18,744","37,511","31,626","27,808","33,117","70,084","75,121","81,011"
자본총계(지배),"17,607","36,294","30,395","26,562","32,065","69,031","73,775","79,172"
자본총계(비지배),"1,137","1,217","1,231","1,246","1,052",,,
자본금,"3,698","4,798","4,798","4,798","8,766","18,238","18,080","18,153"
영업활동현금흐름,"28,063","28,068","27,926","22,879","13,767","23,970","24,542","22,422"
투자활동현금흐름,"-8,735","-20,412","-6,579","-15,492",-27,"-16,803","-12,021","-13,003"
재무활동현금흐름,"-18,293","-10,362","-14,075","-14,472","-8,581","-2,087","-6,575","-2,223"
CAPEX,"11,451","18,765","12,762","11,828","6,110","5,828","10,716","13,278"
FCF,"16,611","9,302","15,164","11,050","7,657","20,584","12,870","9,772"
이자발생부채,"145,529","148,453","157,392","170,237","155,379",,,
영업이익률,9.55,7.77,5.16,1.42,1.43,13.94,11.78,8.99
순이익률,-4.75,6.63,-1.24,-5.03,-3.02,5.90,6.83,4.17
ROE(%),-27.24,29.37,-5.05,-22.09,-7.22,10.13,10.26,7.03
ROA(%),-2.31,3.30,-0.64,-2.36,-0.88,2.02,2.80,2.04
부채비율,"1,178.13",557.11,717.13,871.45,660.63,278.41,259.36,244.87
자본유보율,110.88,317.41,241.52,93.10,113.63,,,
EPS(원),"-4,594","5,525","-1,124","-4,197","-1,181","1,688","2,099","1,540"
PER(배),N/A,3.97,N/A,N/A,N/A,16.41,14.36,19.57
BPS(원),"14,319","24,217","20,281","17,723","14,148","19,783","21,143","22,690"
PBR(배),1.16,0.91,1.06,1.04,1.49,1.40,1.43,1.33
현금DPS(원),0,159,159,0,0,0,21,25
현금배당수익률,0.00,0.73,0.74,0.00,0.00,0.00,0.07,0.08
현금배당성향(%),0.00,3.04,-14.27,0.00,0.00,,1.02,1.62
발행주식수(보통주),"121,853,063","148,760,863","148,760,863","148,760,863","225,529,011",,,
