0,1,2,3,4,5,6,7,8
롯데정밀화학(소재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"13,717","13,113","12,636","17,841","3,439","4,217","4,921","5,349"
영업이익,"2,107","1,897","1,392","2,430",355,539,702,853
영업이익(발표기준),"2,107","1,897","1,392",,355,539,702,
세전계속사업이익,"2,752","2,249","2,595","6,120",494,"1,443","2,647","2,113"
당기순이익,"2,149","1,684","1,988","4,606",405,"1,140","2,050","1,670"
당기순이익(지배),"2,149","1,684","1,988","4,753",405,"1,140","2,050","1,522"
당기순이익(비지배),,,,,,,,
자산총계,"17,000","17,927","18,746","24,228","19,172","20,717","23,393","24,228"
부채총계,"3,221","2,996","2,249","3,408","2,652","3,057","3,682","3,408"
자본총계,"13,779","14,931","16,497","20,669","16,520","17,661","19,712","20,669"
자본총계(지배),"13,779","14,931","16,497","20,820","16,520","17,661","19,712","20,820"
자본총계(비지배),,,,,,,,
자본금,"1,290","1,290","1,290","1,290","1,290","1,290","1,290","1,290"
영업활동현금흐름,"2,732","2,575","2,531","2,732",420,899,110,
투자활동현금흐름,"-1,777","-2,036","-1,251",374,-395,-405,"1,314",
재무활동현금흐름,"-2,204",-503,"-1,296",-113,-52,-428,-30,
CAPEX,965,714,"1,774","1,438",348,357,160,
FCF,"1,767","1,861",757,"1,264",72,543,-50,
이자발생부채,812,889,189,,154,115,267,
영업이익률,15.36,14.46,11.02,13.62,10.33,12.78,14.26,15.95
순이익률,15.67,12.84,15.73,25.81,11.77,27.04,41.66,31.21
ROE(%),16.72,11.73,12.65,25.47,12.48,14.76,23.98,
ROA(%),12.86,9.64,10.84,21.43,10.38,12.73,20.46,
부채비율,23.38,20.06,13.63,16.49,16.05,17.31,18.68,16.49
자본유보율,989.97,"1,080.74","1,201.68",,"1,203.45","1,291.84","1,450.76",
EPS(원),"8,330","6,526","7,705","18,422","1,570","4,419","7,946","5,901"
PER(배),4.93,6.92,7.16,3.69,7.72,6.94,5.52,
BPS(원),"54,099","58,622","64,770","81,743","64,861","69,339","77,392","81,743"
PBR(배),0.76,0.77,0.85,0.83,0.91,0.95,1.18,0.83
현금DPS(원),"1,700","1,700","1,500","2,386",0,0,0,
현금배당수익률,4.14,3.77,2.72,3.51,,,,
현금배당성향(%),20.15,25.72,19.22,12.95,0.00,0.00,0.00,
발행주식수(보통주),"25,800,000","25,800,000","25,800,000",,"25,800,000",,,
