0,1,2,3,4,5,6,7,8
OCI(소재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"31,121","26,051","20,025","32,958","5,737","7,674","8,887","8,905"
영업이익,"1,587","-1,806",-861,"6,625",470,"1,663","1,946","2,123"
영업이익(발표기준),"1,587","-1,806",-861,,470,"1,663","1,946",
세전계속사업이익,"1,305","-10,122","-3,501","5,859",441,"1,604","1,894","1,842"
당기순이익,"1,038","-8,074","-2,512","5,519",398,"1,453","1,776","1,076"
당기순이익(지배),"1,038","-7,944","-2,462","5,200",380,"1,443","1,778","1,762"
당기순이익(비지배),0,-130,-50,,18,10,-2,
자산총계,"56,596","48,112","44,372","51,562","46,168","49,612","51,898","51,562"
부채총계,"21,670","21,255","20,515","22,438","21,663","23,659","23,687","22,438"
자본총계,"34,926","26,857","23,857","29,124","24,505","25,953","28,211","29,124"
자본총계(지배),"34,294","26,357","23,410","28,625","24,042","25,475","27,714","28,625"
자본총계(비지배),,500,447,,463,478,497,
자본금,"1,272","1,272","1,272","1,270","1,272","1,272","1,272","1,270"
영업활동현금흐름,"6,765",-399,"-1,185","3,783",223,"1,610","2,103",
투자활동현금흐름,"-3,989","-2,715",62,"-2,153",-869,"-1,717",-478,
재무활동현금흐름,"-4,602",427,769,-377,253,357,-628,
CAPEX,"2,767","2,306",733,"1,222",159,258,177,
FCF,"3,999","-2,705","-1,918","2,100",64,"1,352","1,926",
이자발생부채,"15,088","15,958","16,734",,"17,069","17,417","16,718",
영업이익률,5.10,-6.93,-4.30,20.10,8.20,21.68,21.89,23.84
순이익률,3.34,-30.99,-12.54,16.75,6.93,18.93,19.99,12.08
ROE(%),3.06,-26.20,-9.89,19.99,-6.07,1.14,7.52,
ROA(%),1.77,-15.42,-5.43,11.51,-3.26,0.63,4.14,
부채비율,62.05,79.14,85.99,77.04,88.40,91.16,83.97,77.04
자본유보율,"2,604.63","1,956.46","1,760.59",,"1,790.34","1,903.47","2,043.16",
EPS(원),"4,352","-33,308","-10,321","21,803","1,593","6,049","7,455","7,386"
PER(배),24.59,N/A,N/A,4.17,N/A,96.82,19.20,
BPS(원),"143,796","110,515","98,978","120,022","101,649","107,705","117,183","120,022"
PBR(배),0.74,0.57,0.94,0.76,1.20,1.09,1.37,0.76
현금DPS(원),850,,,"1,875",,,,
현금배당수익률,0.79,,,2.06,,,,
현금배당성향(%),19.53,0.00,0.00,8.60,0.00,,0.00,
발행주식수(보통주),"23,849,371","23,849,371","23,849,371",,"23,849,371",,,
