0,1,2,3,4,5,6,7,8
SK가스(유틸리티),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"68,592","49,311","44,123","66,486","14,442","14,062","18,098","19,886"
영업이익,"1,030","1,896","1,902","1,268",376,446,355,91
영업이익(발표기준),"1,030","1,896","1,902",,376,446,355,
세전계속사업이익,235,905,"4,078","3,250",772,"1,442",939,98
당기순이익,554,"1,541","2,654","2,488",563,"1,129",721,82
당기순이익(지배),598,"1,589","2,654","2,486",563,"1,129",721,65
당기순이익(비지배),-43,-48,,,,,,
자산총계,"37,556","40,824","44,989","56,817","48,210","50,271","54,075","56,817"
부채총계,"21,128","24,216","26,002","35,700","29,020","29,950","33,030","35,700"
자본총계,"16,428","16,608","18,987","21,117","19,190","20,321","21,044","21,117"
자본총계(지배),"15,662","16,608","18,987","21,117","19,190","20,321","21,044","21,117"
자본총계(비지배),,,,,,,,
자본금,453,457,462,461,462,462,462,461
영업활동현금흐름,-944,"3,077","2,285","2,107","-1,584","2,644","-2,743",
투자활동현금흐름,"-2,991",-448,"-4,904","-5,008","-2,599",-595,"1,807",
재무활동현금흐름,"2,066","-2,123","2,577","5,939","4,463","-1,861",899,
CAPEX,"2,272","1,103",786,"2,500",555,533,295,
FCF,"-3,216","1,974","1,499",119,"-2,139","2,111","-3,038",
이자발생부채,"11,667","15,886","18,682",,"23,521","22,013","23,397",
영업이익률,1.50,3.84,4.31,1.91,2.61,3.17,1.96,0.46
순이익률,0.81,3.13,6.01,3.74,3.90,8.03,3.98,0.41
ROE(%),3.90,9.85,14.91,12.40,12.38,12.89,12.45,
ROA(%),1.37,3.93,6.18,4.89,4.95,5.34,5.05,
부채비율,128.61,145.81,136.94,169.06,151.23,147.39,156.96,169.06
자본유보율,"3,122.17","3,606.85","4,087.44",,"4,130.84","4,375.71","4,531.57",
EPS(원),"6,474","17,212","28,748","26,939","6,099","12,233","7,812",704
PER(배),10.82,4.92,3.64,4.58,4.37,4.57,5.99,
BPS(원),"175,238","185,881","211,555","235,286","213,809","226,413","234,477","235,286"
PBR(배),0.40,0.46,0.49,0.52,0.50,0.54,0.69,0.52
현금DPS(원),"2,943","2,971","4,000","4,000",0,0,0,
현금배당수익률,4.20,3.51,3.83,3.24,,,,
현금배당성향(%),43.98,16.71,13.53,14.85,0.00,0.00,0.00,
발행주식수(보통주),"9,230,244","9,230,244","9,230,244",,"9,230,244","9,230,244","9,230,244",
