0,1,2,3,4,5,6,7,8
삼천리(유틸리티),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"34,562","34,616","32,138","34,596","11,971","7,203","6,427","11,114"
영업이익,839,856,958,"1,009",744,47,41,218
영업이익(발표기준),839,856,958,,744,47,41,
세전계속사업이익,515,520,502,930,781,22,111,178
당기순이익,266,360,273,732,647,36,111,
당기순이익(지배),321,378,320,706,572,58,74,94
당기순이익(비지배),-54,-18,-47,,75,-23,36,
자산총계,"36,994","39,124","38,599","39,120","42,313","38,842","38,582","39,120"
부채총계,"23,311","25,194","24,691","24,578","27,836","24,330","23,930","24,578"
자본총계,"13,683","13,929","13,908","14,547","14,478","14,511","14,652","14,547"
자본총계(지배),"12,577","12,843","12,870","13,487","13,365","13,421","13,525","13,487"
자본총계(비지배),,"1,087","1,038",,"1,113","1,091","1,127",
자본금,203,203,203,202,203,203,203,202
영업활동현금흐름,"1,250","3,171","1,003","1,585","3,309",-387,259,
투자활동현금흐름,"-1,214","-1,161",-388,"-3,062","-3,406",59,-538,
재무활동현금흐름,-340,-287,"1,121",-146,918,"-1,131",9,
CAPEX,"1,415","1,429","1,663","1,680",371,232,273,
FCF,-165,"1,742",-660,88,"2,938",-619,-14,
이자발생부채,"11,161","11,687","13,023",,"14,056","13,041","13,082",
영업이익률,2.43,2.47,2.98,2.92,6.22,0.65,0.64,1.96
순이익률,0.77,1.04,0.85,2.12,5.41,0.50,1.72,
ROE(%),2.57,2.98,2.49,5.36,4.42,4.54,5.85,
ROA(%),0.72,0.95,0.70,1.88,1.41,1.58,2.17,
부채비율,170.36,180.87,177.53,168.96,192.26,167.66,163.32,168.96
자본유보율,"6,338.81","6,464.14","6,556.93",,"6,788.56","6,817.41","6,854.13",
EPS(원),"7,905","9,327","7,883","17,423","14,115","1,442","1,836","2,318"
PER(배),11.51,9.06,10.33,5.58,5.46,6.43,5.08,
BPS(원),"352,950","360,412","375,867","393,893","390,322","391,963","395,016","393,893"
PBR(배),0.26,0.23,0.22,0.25,0.20,0.24,0.25,0.25
현금DPS(원),"3,000","3,000","3,000","3,000",0,0,0,
현금배당수익률,3.30,3.55,3.69,3.09,,,,
현금배당성향(%),33.35,28.26,32.13,17.22,0.00,,0.00,
발행주식수(보통주),"4,055,025","4,055,025","4,055,025",,"4,055,025","4,055,025","4,055,025",
