0,1,2,3,4,5,6,7,8
휠라홀딩스(경기관련소비재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"29,546","34,504","31,288","37,436","9,883","10,194","9,271","8,074"
영업이익,"3,571","4,707","3,411","5,193","1,836","1,738","1,103",487
영업이익(발표기준),"3,571","4,707","3,411",,"1,836","1,738","1,103",
세전계속사업이익,"3,371","4,713","3,399","5,249","1,857","1,817","1,095",505
당기순이익,"2,100","3,381","1,977","3,685","1,342","1,358",759,457
당기순이익(지배),"1,435","2,668","1,390","2,687",850,904,539,358
당기순이익(비지배),665,714,587,,492,453,221,
자산총계,"33,043","37,702","37,584","41,700","39,967","40,639","43,147","41,700"
부채총계,"17,978","19,693","19,011","18,994","19,557","18,456","19,464","18,994"
자본총계,"15,065","18,009","18,573","22,706","20,410","22,183","23,683","22,706"
자본총계(지배),"9,917","12,497","12,924","15,919","14,147","15,223","16,305","15,919"
자본총계(비지배),"5,148","5,513","5,649",,"6,263","6,960","7,378",
자본금,611,611,611,610,611,611,611,610
영업활동현금흐름,"2,746","3,191","4,450","4,235",473,"2,754","1,136",
투자활동현금흐름,-246,-359,-552,-668,-154,17,-31,
재무활동현금흐름,"-2,144","-1,902","-1,345","-1,827",-530,"-1,512",-52,
CAPEX,847,467,393,524,104,112,59,
FCF,"1,899","2,724","4,057","3,813",369,"2,642","1,078",
이자발생부채,"9,832","10,637","10,025",,"9,849","8,258","8,626",
영업이익률,12.09,13.64,10.90,13.87,18.57,17.05,11.90,6.03
순이익률,7.11,9.80,6.32,9.84,13.58,13.32,8.19,5.66
ROE(%),16.03,23.80,10.94,18.63,13.99,16.92,15.64,
ROA(%),6.58,9.56,5.25,9.29,7.21,9.53,8.85,
부채비율,119.34,109.35,102.36,83.65,95.82,83.20,82.18,83.65
자본유보율,"1,538.42","1,930.66","2,090.35",,"2,210.21","2,393.00","2,487.95",
EPS(원),"2,349","4,365","2,286","4,423","1,399","1,489",886,589
PER(배),22.78,12.14,19.11,7.29,13.77,14.68,11.02,
BPS(원),"16,226","20,545","21,506","26,490","23,540","25,331","27,132","26,490"
PBR(배),3.30,2.58,2.03,1.22,1.83,2.30,1.57,1.22
현금DPS(원),50,219,185,243,,,,
현금배당수익률,0.09,0.41,0.42,0.75,,,,
현금배당성향(%),2.13,4.99,8.00,5.49,0.00,,0.00,
발행주식수(보통주),"61,115,070","61,115,070","60,752,222",,"60,752,222","60,752,222","60,752,222",
