0,1,2,3,4,5,6,7,8
대우조선해양(산업재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"96,444","83,587","70,302","43,650","11,018","10,694","9,597","12,151"
영업이익,"10,248","2,928","1,534","-13,011","-2,129","-10,074",-190,-467
영업이익(발표기준),"10,248","2,928","1,534",,"-2,129","-10,074",-190,
세전계속사업이익,"3,677",-489,783,"-13,988","-2,379","-10,246",-553,-420
당기순이익,"3,201",-465,866,"-13,725","-2,347","-10,122",-545,-407
당기순이익(지배),"3,447",-465,866,"-13,725","-2,347","-10,122",-545,-822
당기순이익(비지배),-247,,,,,,,
자산총계,"119,185","112,761","103,208","92,882","100,187","98,161","102,409","92,882"
부채총계,"80,783","75,212","64,518","66,037","63,831","71,897","76,634","66,037"
자본총계,"38,402","37,549","38,690","26,847","36,356","26,264","25,775","26,847"
자본총계(지배),"38,402","37,549","38,690","26,847","36,356","26,264","25,775","26,847"
자본총계(비지배),,,,,,,,
자본금,"5,410","5,410","5,415","5,412","5,415","5,415","5,415","5,412"
영업활동현금흐름,"7,251","25,421","-4,585",675,847,"3,466",261,
투자활동현금흐름,-132,"-4,845","1,378",-17,465,-137,238,
재무활동현금흐름,"-5,659","-3,951","-3,081","-3,971",-991,-680,-336,
CAPEX,"1,481","1,570","1,899","1,417",202,201,304,
FCF,"5,771","23,851","-6,483","-1,956",645,"3,265",-42,
이자발생부채,"32,054","29,641","27,731",,"27,514","26,914","27,275",
영업이익률,10.63,3.50,2.18,-29.81,-19.32,-94.21,-1.98,-3.84
순이익률,3.32,-0.56,1.23,-31.44,-21.30,-94.65,-5.68,-3.35
ROE(%),9.53,-1.22,2.27,-41.88,-10.23,-43.57,-44.81,
ROA(%),2.74,-0.40,0.80,-14.00,-3.67,-13.86,-14.25,
부채비율,210.36,200.30,166.76,245.98,175.57,273.75,297.31,245.98
자본유보율,122.94,106.56,127.97,,84.86,-102.14,-112.29,
EPS(원),"3,219",-434,807,"-12,792","-2,188","-9,435",-508,-766
PER(배),10.61,N/A,33.94,N/A,N/A,N/A,N/A,
BPS(원),"35,826","35,030","36,066","25,026","33,891","24,483","24,028","25,026"
PBR(배),0.95,0.80,0.76,0.89,0.84,1.46,1.12,0.89
현금DPS(원),0,0,,0,,,,
현금배당수익률,0.00,0.00,,0.00,,,,
현금배당성향(%),0.00,0.00,0.00,,,,0.00,
발행주식수(보통주),"107,205,752","107,205,752","107,290,669",,"107,290,669","107,290,669","107,290,669",
