0,1,2,3,4,5,6,7,8
오리온(필수소비재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"19,269","20,233","22,298","23,670","6,020","5,017","6,253","6,380"
영업이익,"2,822","3,276","3,761","3,803","1,019",551,"1,142","1,091"
영업이익(발표기준),"2,822","3,276","3,761",,"1,019",551,"1,142",
세전계속사업이익,"2,752","3,081","3,974","3,823","1,024",574,"1,153","1,137"
당기순이익,"1,430","2,205","2,746","2,706",717,395,769,808
당기순이익(지배),"1,399","2,156","2,676","2,642",716,388,732,790
당기순이익(비지배),32,49,70,,1,7,38,
자산총계,"23,514","24,523","26,654","29,466","27,121","27,493","29,788","29,466"
부채총계,"9,068","7,848","7,679","7,832","7,244","7,074","7,805","7,832"
자본총계,"14,445","16,675","18,975","21,634","19,877","20,420","21,982","21,634"
자본총계(지배),"14,055","16,226","18,300","20,895","19,180","19,708","21,199","20,895"
자본총계(비지배),,449,676,,697,712,784,
자본금,198,198,198,199,198,198,198,199
영업활동현금흐름,"4,006","3,478","4,610","3,984",390,"1,058","1,526",
투자활동현금흐름,"-1,149","-1,875","-1,632","-1,719",-431,-491,-416,
재무활동현금흐름,"-1,992","-1,844",-865,-559,-24,-314,-17,
CAPEX,"1,308","1,258","1,518","1,728",405,410,340,
FCF,"2,698","2,220","3,092","2,578",-15,648,"1,186",
이자발생부채,"4,350","3,112","2,562",,"2,586","2,602","2,603",
영업이익률,14.64,16.19,16.87,16.07,16.93,10.97,18.26,17.10
순이익률,7.42,10.90,12.31,11.43,11.91,7.87,12.31,12.66
ROE(%),10.31,14.24,15.50,13.48,14.74,12.93,12.05,
ROA(%),6.21,9.18,10.73,9.64,10.37,9.29,8.67,
부채비율,62.78,47.06,40.47,36.20,36.45,34.64,35.51,36.20
자본유보율,"3,992.84","4,940.01","6,173.29",,"6,385.64","6,579.22","6,951.77",
EPS(원),"3,538","5,453","6,768","6,683","1,811",981,"1,850","1,999"
PER(배),33.92,19.35,18.32,15.11,19.46,19.44,19.54,
BPS(원),"35,560","41,050","46,294","52,859","48,522","49,856","53,629","52,859"
PBR(배),3.37,2.57,2.68,1.91,2.70,2.38,2.19,1.91
현금DPS(원),600,600,750,764,0,0,0,
현금배당수익률,0.50,0.57,0.60,0.76,,,,
현금배당성향(%),16.96,11.00,11.08,11.44,0.00,0.00,0.00,
발행주식수(보통주),"39,533,961","39,536,132","39,536,132",,"39,536,132","39,536,132",,
