0,1,2,3,4,5,6,7,8
넷마블(커뮤니케이션서비스),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"20,213","21,787","24,848","25,180","5,704","5,772","6,071","7,631"
영업이익,"2,417","2,027","2,720","1,681",542,161,267,710
영업이익(발표기준),"2,417","2,027","2,720",,542,161,267,
세전계속사업이익,"2,904","2,184","4,746","3,279",946,625,560,"1,010"
당기순이익,"2,149","1,698","3,380","2,333",619,481,357,798
당기순이익(지배),"1,896","1,560","3,130","2,120",564,457,301,769
당기순이익(비지배),253,138,251,,55,24,56,
자산총계,"54,330","58,061","82,234","90,405","82,540","80,149","82,241","90,405"
부채총계,"8,815","11,577","25,728","28,764","27,348","23,080","22,591","28,764"
자본총계,"45,515","46,483","56,506","61,641","55,192","57,068","59,650","61,641"
자본총계(지배),"43,744","44,518","54,071","59,297","53,601","55,386","57,515","59,297"
자본총계(비지배),,"1,965","2,435",,"1,591","1,683","2,135",
자본금,85,86,86,88,86,86,86,88
영업활동현금흐름,"2,353","3,813","3,723","3,179",506,47,821,
투자활동현금흐름,"-5,053","-2,473","-15,291","-2,442",66,-886,"3,727",
재무활동현금흐름,-992,"-1,069","8,667","-2,678",-320,"-4,214","-1,201",
CAPEX,230,797,"2,104","1,007",448,20,356,
FCF,"2,123","3,016","1,618","2,891",57,27,465,
이자발생부채,936,"2,667","11,703",,"11,653","9,105","8,046",
영업이익률,11.96,9.30,10.95,6.68,9.51,2.80,4.39,9.30
순이익률,10.63,7.79,13.61,9.26,10.86,8.34,5.88,10.46
ROE(%),4.36,3.54,6.35,3.74,6.26,5.41,4.28,
ROA(%),3.99,3.02,4.82,2.70,4.56,3.99,3.18,
부채비율,19.37,24.91,45.53,46.66,49.55,40.44,37.87,46.66
자본유보율,"54,071.11","55,922.53","59,559.90",,"59,488.10","59,969.48","56,461.86",
EPS(원),"2,226","1,823","3,647","2,467",657,532,350,895
PER(배),50.08,50.68,36.05,41.95,35.10,40.25,43.64,
BPS(원),"52,199","54,473","66,080","72,371","65,430","67,597","70,196","72,371"
PBR(배),2.14,1.70,1.99,1.43,1.97,1.98,1.68,1.43
현금DPS(원),0,0,767,716,0,0,0,
현금배당수익률,0.00,0.00,0.58,0.69,,,,
현금배당성향(%),0.00,0.00,20.05,29.02,0.00,0.00,0.00,
발행주식수(보통주),"85,265,865","85,744,564","85,845,303",,"85,940,234","85,953,502","85,953,502",
