0,1,2,3,4,5,6,7,8
엔에이치스팩19호(금융),,,,,"2021/03
									
(IFRS별도)","2021/06
									
(IFRS별도)","2021/09
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)"
매출액,,,,,,0,0,
영업이익,,,,,,0,0,
영업이익(발표기준),,,,,,0,0,
세전계속사업이익,,,,,,0,1,
당기순이익,,,,,,0,1,
당기순이익(지배),,,,,,0,1,
당기순이익(비지배),,,,,,0,0,
자산총계,,,,,,"1,154","1,156",
부채총계,,,,,,155,156,
자본총계,,,,,,999,"1,000",
자본총계(지배),,,,,,999,"1,000",
자본총계(비지배),,,,,,,,
자본금,,,,,,51,51,
영업활동현금흐름,,,,,,0,0,
투자활동현금흐름,,,,,,0,0,
재무활동현금흐름,,,,,,0,0,
CAPEX,,,,,,,,
FCF,,,,,,,,
이자발생부채,,,,,,152,153,
영업이익률,,,,,,,,
순이익률,,,,,,,,
ROE(%),,,,,,,,
ROA(%),,,,,,,,
부채비율,,,,,,15.56,15.65,
자본유보율,,,,,,"1,847.82","1,849.45",
EPS(원),,,,,,,2,
PER(배),,,,,,,,
BPS(원),,,,,,,"1,949",
PBR(배),,,,,,,1.11,
현금DPS(원),,,,,,,,
현금배당수익률,,,,,,,,
현금배당성향(%),,,,,,,,
발행주식수(보통주),,,,,,,,
