0,1,2,3,4,5,6,7,8
NH투자증권(금융),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"92,413","115,035","127,678","107,620","39,406","20,900","24,995",
영업이익,"5,401","5,754","7,873","12,980","3,744","3,930","2,927","2,195"
영업이익(발표기준),"5,401","5,754","7,873",,"3,744","3,930","2,927",
세전계속사업이익,"5,048","6,332","7,891","12,824","3,587","3,803","2,889","2,693"
당기순이익,"3,615","4,764","5,769","9,252","2,574","2,705","2,147","1,822"
당기순이익(지배),"3,609","4,755","5,770","9,187","2,575","2,704","2,146","1,798"
당기순이익(비지배),6,9,-1,,0,0,0,
자산총계,"534,226","500,751","627,384","601,266","622,977","601,517","612,699","601,266"
부채총계,"483,688","446,830","569,356","534,146","564,300","540,131","548,263","534,146"
자본총계,"50,538","53,921","58,029","67,119","58,676","61,386","64,436","67,119"
자본총계(지배),"50,476","53,851","57,977","66,312","58,625","61,335","64,383","66,312"
자본총계(비지배),,70,52,,52,52,53,
자본금,"15,313","15,313","15,313","16,163","15,313","15,313","15,313","16,163"
영업활동현금흐름,"-15,955",676,"-46,576",,"35,151","-2,554","17,217",
투자활동현금흐름,"9,603","-4,555","-17,904",,-447,"9,644","-1,840",
재무활동현금흐름,"7,293","7,638","66,784",,"-30,078","-8,604","-7,503",
CAPEX,165,182,287,,89,204,179,
FCF,,,,,,,,
이자발생부채,"99,370","119,358","133,584",,"128,439","121,003","125,366",
영업이익률,5.85,5.00,6.17,12.06,9.50,18.80,11.71,
순이익률,3.91,4.14,4.52,8.60,6.53,12.94,8.59,
ROE(%),7.31,9.12,10.32,14.78,14.37,14.43,13.41,
ROA(%),0.74,0.92,1.02,1.51,1.34,1.40,1.36,
부채비율,957.08,828.68,981.16,795.82,961.72,879.89,850.87,795.82
자본유보율,231.36,253.08,279.91,,284.14,301.83,321.75,
EPS(원),"1,202","1,584","1,921","3,025",857,901,715,572
PER(배),10.86,8.02,5.88,3.93,4.36,4.59,4.73,
BPS(원),"16,863","17,974","19,352","21,037","19,568","20,472","21,490","21,037"
PBR(배),0.77,0.71,0.58,0.57,0.60,0.63,0.60,0.57
현금DPS(원),500,500,700,974,0,0,0,
현금배당수익률,3.83,3.94,6.19,8.18,,,,
현금배당성향(%),41.74,31.70,36.51,31.48,,,0.00,
발행주식수(보통주),"281,408,887","281,408,887","281,408,887",,"281,408,887","281,408,887","281,408,887",
