0,1,2,3,4,5,6,7,8
삼성카드(금융),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"33,542","32,934","33,671","35,818","9,181","8,433","9,403","8,887"
영업이익,"4,786","4,497","5,343","6,884","1,853","1,948","1,934","1,135"
영업이익(발표기준),"4,786","4,497","5,343",,"1,853","1,948","1,934",
세전계속사업이익,"4,691","4,453","5,325","6,814","1,858","1,945","1,904","1,060"
당기순이익,"3,452","3,441","3,988","5,050","1,384","1,438","1,395",819
당기순이익(지배),"3,452","3,441","3,988","5,073","1,384","1,438","1,395",943
당기순이익(비지배),,,,,,,,
자산총계,"230,421","220,382","233,989","261,531","238,404","252,071","264,458","261,531"
부채총계,"162,708","151,418","162,793","187,512","167,517","179,446","190,460","187,512"
자본총계,"67,713","68,964","71,195","73,912","70,887","72,625","73,998","73,912"
자본총계(지배),"67,713","68,964","71,195","74,840","70,887","72,625","73,998","74,840"
자본총계(비지배),,,,,,,,
자본금,"6,148","6,148","6,148","6,150","6,148","6,148","6,148","6,150"
영업활동현금흐름,"-4,031","11,745","-7,694",,"-5,644","-6,661","-7,338",
투자활동현금흐름,-705,"-2,777","2,803",,-63,-101,-108,
재무활동현금흐름,"6,327","-14,567","8,117",,"3,143","10,834","6,136",
CAPEX,128,69,125,,5,7,15,
FCF,,,,,,,,
이자발생부채,"138,994","127,195","136,161",,"139,984","152,663","159,714",
영업이익률,14.27,13.65,15.87,19.22,20.18,23.10,20.57,12.77
순이익률,10.29,10.45,11.84,14.10,15.07,17.05,14.84,9.22
ROE(%),5.04,5.04,5.69,6.95,6.14,6.48,6.50,
ROA(%),1.50,1.53,1.75,2.04,1.84,1.90,1.84,
부채비율,240.29,219.56,228.66,253.70,236.32,247.08,257.38,253.70
자본유보율,"1,067.08","1,087.44","1,123.73",,"1,118.71","1,146.99","1,169.32",
EPS(원),"2,980","2,970","3,442","4,378","1,194","1,241","1,204",814
PER(배),11.59,13.00,9.44,7.10,9.39,8.67,8.34,
BPS(원),"63,455","64,628","66,718","70,134","66,429","68,058","69,345","70,134"
PBR(배),0.54,0.60,0.49,0.44,0.52,0.50,0.49,0.44
현금DPS(원),"1,600","1,600","1,800","2,168",0,0,0,
현금배당수익률,4.63,4.15,5.54,6.97,,,,
현금배당성향(%),49.48,49.62,48.16,49.52,0.00,0.00,0.00,
발행주식수(보통주),"115,858,891","115,858,891","115,858,891",,"115,858,891",,,
