0,1,2,3,4,5,6,7,8
포스코케미칼(소재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"13,836","14,838","15,662","19,750","4,672","4,800","5,050","5,173"
영업이익,"1,063",899,603,"1,370",341,356,315,346
영업이익(발표기준),"1,063",899,603,,341,356,315,
세전계속사업이익,"1,766","1,130",347,"1,693",477,395,439,404
당기순이익,"1,328","1,012",297,"1,464",398,339,409,317
당기순이익(지배),"1,322","1,010",296,"1,463",400,339,409,351
당기순이익(비지배),6,1,2,,-2,0,0,
자산총계,"9,476","17,301","20,881","35,496","34,483","34,960","37,671","35,496"
부채총계,"1,895","7,238","10,644","12,498","11,145","11,301","13,558","12,498"
자본총계,"7,581","10,063","10,236","23,161","23,337","23,659","24,114","23,161"
자본총계(지배),"7,496","9,975","10,007","22,674","22,920","23,244","23,693","22,674"
자본총계(비지배),,88,229,,417,416,420,
자본금,295,305,305,389,387,387,387,389
영업활동현금흐름,846,628,383,"2,432",-56,537,89,
투자활동현금흐름,-387,"-4,647","-2,543","-12,242","-12,903",181,55,
재무활동현금흐름,-294,"3,182","3,020","12,368","12,796",-245,"2,096",
CAPEX,"1,009","3,087","2,426","5,916",614,"1,304","1,470",
FCF,-163,"-2,459","-2,043","-3,907",-670,-767,"-1,381",
이자발생부채,202,"4,825","8,414",,"8,415","8,357","10,515",
영업이익률,7.68,6.06,3.85,6.94,7.31,7.42,6.23,6.69
순이익률,9.59,6.82,1.90,7.41,8.51,7.06,8.10,6.13
ROE(%),18.96,11.57,2.96,8.95,3.38,5.84,7.79,
ROA(%),14.89,7.56,1.56,5.20,2.16,3.43,4.47,
부채비율,25.00,71.93,103.99,53.96,47.76,47.76,56.22,53.96
자본유보율,"2,446.59","3,174.65","3,192.15",,"5,822.65","5,906.35","6,017.69",
EPS(원),"2,126","1,588",461,"1,922",540,437,527,453
PER(배),28.13,29.10,225.74,66.07,186.36,104.02,98.83,
BPS(원),"12,057","15,540","15,589","29,270","29,588","30,006","30,587","29,270"
PBR(배),4.96,2.97,6.67,4.34,5.24,4.80,5.79,4.34
현금DPS(원),380,380,285,300,0,0,0,
현금배당수익률,0.64,0.82,0.27,0.24,,,,
현금배당성향(%),17.88,24.14,61.87,15.86,0.00,0.00,0.00,
발행주식수(보통주),"62,172,826","64,191,806","64,191,806",,"77,463,220","77,463,220","77,463,220",
