0,1,2,3,4,5,6,7,8
금호석유(소재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"55,849","49,615","48,095","83,930","18,545","21,991","22,363","20,993"
영업이익,"5,546","3,654","7,422","24,848","6,125","7,537","6,253","4,844"
영업이익(발표기준),"5,546","3,654","7,422",,"6,125","7,537","6,253",
세전계속사업이익,"6,169","3,769","7,669","26,656","6,753","7,890","7,334","5,043"
당기순이익,"5,031","2,947","5,830","20,226","4,756","5,831","6,046","3,674"
당기순이익(지배),"4,912","2,946","5,829","20,210","4,755","5,830","6,046","3,860"
당기순이익(비지배),119,1,1,,0,0,0,
자산총계,"46,167","45,380","50,273","73,352","56,813","68,210","76,303","73,352"
부채총계,"22,686","19,085","18,780","22,888","21,343","26,757","28,356","22,888"
자본총계,"23,481","26,296","31,492","50,574","35,470","41,453","47,946","50,574"
자본총계(지배),"23,473","26,286","31,482","50,451","35,460","41,442","47,936","50,451"
자본총계(비지배),,9,10,,10,11,11,
자본금,"1,675","1,675","1,675","1,671","1,675","1,675","1,675","1,671"
영업활동현금흐름,"4,846","5,577","7,715","16,749","3,503","6,168","4,267",
투자활동현금흐름,"-1,907","-1,360","-2,000","-5,129",-605,"-4,945","-7,501",
재무활동현금흐름,"-4,264","-3,957","-2,785","-1,963",457,"-1,905",106,
CAPEX,"1,341","1,727","1,754","3,816",476,"1,295",945,
FCF,"3,505","3,850","5,961","14,583","3,028","4,873","3,322",
이자발생부채,"14,570","11,561","9,076",,"9,574","9,790","10,477",
영업이익률,9.93,7.36,15.43,29.60,33.03,34.27,27.96,23.08
순이익률,9.01,5.94,12.12,24.10,25.64,26.51,27.04,17.50
ROE(%),23.45,11.84,20.18,49.33,30.00,40.91,48.60,
ROA(%),10.94,6.44,12.19,32.72,18.07,24.62,30.03,
부채비율,96.61,72.58,59.64,45.26,60.17,64.55,59.14,45.26
자본유보율,"1,362.22","1,518.71","1,841.63",,"2,057.26","2,396.44","2,753.62",
EPS(원),"14,667","8,796","17,405","60,351","14,199","17,408","18,053","11,533"
PER(배),5.95,8.81,8.33,2.72,9.53,5.19,3.38,
BPS(원),"84,137","94,221","112,845","179,728","127,104","148,546","171,820","179,728"
PBR(배),1.04,0.82,1.28,0.91,2.08,1.47,1.10,0.91
현금DPS(원),"1,350","1,500","4,200","11,075",0,0,0,
현금배당수익률,1.55,1.94,2.90,6.75,,,,
현금배당성향(%),7.47,13.87,19.87,16.60,0.00,,0.00,
발행주식수(보통주),"30,467,691","30,467,691","30,467,691",,"30,467,691",,,
