"ID","Symbol","Market","Name","MainSector","Sector","Industry","ListingDate","HomePage"
1202,"166090","KOSDAQ","하나머티리얼즈","IT","반도체 제조업","실리콘부품, 세라믹부품, 특수가스","2017-04-28","http://hanamts.com"
1203,"136480","KOSDAQ","하림","필수소비재","도축, 육류 가공 및 저장 처리업","육계, 육계가공식품","2011-05-02","nan"
1204,"149980","KOSDAQ","하이로닉","건강관리","의료용 기기 제조업","피부미용 의료기기","2014-12-17","http://www.hironic.com"
1205,"106080","KOSDAQ","하이소닉","IT","전자부품 제조업","휴대폰 카메라용 Auto Focus Actuator","2010-02-09","http://www.hysonic.com"
1206,"080720","KOSDAQ","한국유니온제약","건강관리","의약품 제조업","항생제, 순환기계, 근골격계, 소화기계류 완제의약품","2018-07-26","http://www.ukp.co.kr/"
1207,"226440","KOSDAQ","한송네오텍","IT","특수 목적용 기계 제조업","OLED FMM 인장기","2015-10-06","http://hsneotech.com"
1208,"005860","KOSDAQ","한일사료","필수소비재","동물용 사료 및 조제식품 제조업","배합사료","1994-11-07","http://www.hanilfeed.com"
1209,"900270","KOSDAQ","헝셩그룹","경기관련소비재","기타 금융업","자회사 제품 : 아동용 완구 및 아동복 등","2016-08-18","nan"
1210,"039010","KOSDAQ","현대에이치티","IT","통신 및 방송 장비 제조업","스마트홈 제조","2000-07-20","http://www.hyundaiht.co.kr"
1211,"061250","KOSDAQ","화일약품","건강관리","의약품 제조업","의약품 원료","2002-04-18","http://www.hwail.com"
1212,"097870","KOSDAQ","효성오앤비","소재","비료, 농약 및 살균, 살충제 제조업","혼합유박비료,유기복합비료,혼합유기질비료","2008-04-08","nan"
1213,"353190","KOSDAQ","휴럼","건강관리","기타 식품 제조업","금융지원 서비스","2020-06-17","nan"
1214,"243070","KOSDAQ","휴온스","건강관리","의약품 제조업","전문의약품, 일반의약품","2016-06-03","http://www.huons.com"
1215,"145020","KOSDAQ","휴젤","건강관리","기초 의약물질 및 생물학적 제제 제조업","보툴리눔톡신, 필러","2015-12-24","http://www.hugel.co.kr"
1216,"227420","KONEX","도부마스크","NULL","기타 섬유제품 제조업","1) 마스크 도소매업 2) MB필터 생산 및 도소매업","2016-12-28","http://www.dobumask.asia"
1217,"163430","KONEX","디피코","NULL","자동차 차체 및 트레일러 제조업","전기화물자동차, 자동차 엔지니어링 서비스, 의료용전동스쿠터 등","2018-05-16","http://www.dpeco.com"
1218,"200580","KONEX","메디쎄이","NULL","의료용 기기 제조업","정형외과용 척추임플란트","2015-10-20","http://www.medyssey.co.kr"
1219,"210120","KONEX","빅텐츠","NULL","영화, 비디오물, 방송프로그램 제작 및 배급업","드라마, OST","2014-12-16","http://www.victents.com"
1220,"217320","KONEX","썬테크","NULL","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","자기진단형 발전기, 영구자석 회전자 발전기","2015-04-29","http://www.sun-tech.co.kr"
1221,"236030","KONEX","씨알푸드","NULL","곡물가공품, 전분 및 전분제품 제조업","시리얼, 시리얼바","2017-12-14","http://www.crfood.co.kr"
1222,"149300","KONEX","아퓨어스","NULL","기초 의약물질 및 생물학적 제제 제조업","실험동물, 연구용피부 및 연구용세포, 연구용역","2019-09-03","http://www.apures.com"
1223,"251280","KONEX","안지오랩","NULL","자연과학 및 공학 연구개발업","신약개발 및 체지방 감소 건강기능식품","2016-10-25","http://www.angiolab.co.kr"
1224,"238170","KONEX","엔에스엠","NULL","합성고무 및 플라스틱 물질 제조업","전도성 고분자 코팅 대전방지 필름","2019-12-26","http://www.nsmcc.com"
