,code
645,25620
646,36420
647,30000
648,271980
649,1560
650,2620
651,6220
652,89590
653,4910
654,4700
655,1550
656,480
657,120030
658,18470
659,2600
660,63160
661,185750
662,1630
663,70960
664,23450
665,2380
666,44380
667,24110
668,13890
669,1250
670,7070
671,13870
672,71320
673,10580
674,35000
675,88790
676,3780
677,10640
678,100250
679,51630
680,272450
681,11000
682,2785
683,2787
684,2780
685,9310
686,650
687,33250
688,323410
689,35720
690,377300
691,6380
692,109070
693,1620
694,9440
695,29460
696,344820
697,119650
698,281820
699,44450
700,92220
701,381970
702,145270
703,30200
704,30210
705,53210
706,58850
707,58860
708,33780
709,357120
710,7815
711,00781K
712,7810
713,3690
714,192820
715,44820
716,5070
717,5420
718,71950
719,2025
720,3075
721,3070
722,2020
723,120115
724,120110
725,138490
726,21240
727,31820
728,192400
729,284740
730,15590
731,26490K
732,264900
733,5745
734,5740
735,259960
736,20120
737,39490
738,14580
739,15890
740,6890
741,3240
742,11280
743,4105
744,4100
745,9410
746,9415
747,1420
748,7980
749,55490
750,78000
751,214420
752,19180
753,2900
754,36328K
755,363280
756,91810
757,4870
758,5690
759,36580
760,4720
761,28670
762,10820
763,16800
764,1020
765,90080
766,10770
767,58430
768,5490
769,47050
770,3670
771,7630
772,17810
773,103140
774,5810
775,950210
776,9810
777,178920
778,86790
779,293480
780,39130
781,153360
782,352820
783,71090
784,19490
785,87
786,80
787,145
788,140
789,36460
790,5430
791,10040
792,25540
793,96300
794,4090
795,2200
796,2960
797,240
798,33270
799,123890
800,15760
801,52690
802,6200
803,9540
804,23350
805,25890
806,970
807,104700
808,17960
809,161890
810,24720
811,161390
812,34830
813,152550
814,168490
815,71055
816,71050
817,7280
818,10100
819,47810
820,123690
821,3350
822,11500
823,2390
824,14790
825,60980
826,53690
827,42700
828,8930
829,128940
830,9240
831,20000
832,3680
833,105630
834,69640
835,16450
836,10420
837,9180
838,213500
839,14680
840,4710
841,4150
842,25750
843,4960
844,11700
845,1755
846,1750
847,18880
848,9420
849,14130
850,300720
851,2220
852,6390
853,3300
854,51600
855,130660
856,2320
857,3480
858,18064K
859,180640
860,5110
861,9460
