0,1,2,3,4,5,6,7,8
만도(경기관련소비재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"56,648","59,819","55,635","60,603","15,015","14,875","14,360","16,096"
영업이익,"1,974","2,186",887,"2,749",718,767,532,690
영업이익(발표기준),"1,974","2,186",887,,718,767,532,
세전계속사업이익,"1,414","1,765",52,"2,686",681,"1,022",318,618
당기순이익,"1,129","1,182",139,"2,089",522,804,260,451
당기순이익(지배),"1,057","1,105",58,"1,989",491,783,227,437
당기순이익(비지배),73,77,81,,31,22,33,
자산총계,"44,373","45,956","49,383","55,114","53,995","55,066","55,819","55,114"
부채총계,"29,555","30,100","32,288","35,656","36,005","36,148","35,792","35,656"
자본총계,"14,818","15,856","17,096","19,458","17,990","18,918","20,027","19,458"
자본총계(지배),"14,158","15,117","16,375","18,615","17,213","18,118","19,167","18,615"
자본총계(비지배),,739,721,,777,800,860,
자본금,470,470,470,470,470,470,470,470
영업활동현금흐름,"2,869","2,725","4,300","4,687",343,"1,454",33,
투자활동현금흐름,"-2,976","-3,001","-1,444","-3,714","-2,174",-467,-446,
재무활동현금흐름,100,"1,147",714,"2,562","2,125","1,243",127,
CAPEX,"2,625","2,219","1,776","1,971",240,440,497,
FCF,244,506,"2,524","2,770",102,"1,014",-464,
이자발생부채,"13,853","15,984","17,109",,"21,259","22,549","22,927",
영업이익률,3.48,3.65,1.59,4.54,4.78,5.16,3.70,4.29
순이익률,1.99,1.98,0.25,3.45,3.47,5.41,1.81,2.80
ROE(%),7.64,7.55,0.37,11.37,2.86,14.74,12.62,
ROA(%),2.54,2.62,0.29,4.00,1.12,4.96,4.51,
부채비율,199.46,189.83,188.86,183.24,200.14,191.07,178.72,183.24
자본유보율,"2,732.44","2,888.54","2,819.81",,"2,921.37","3,085.07","3,133.40",
EPS(원),"2,250","2,354",123,"4,237","1,045","1,667",483,931
PER(배),12.87,14.96,476.93,11.90,66.38,13.17,12.03,
BPS(원),"30,236","32,284","34,970","39,688","36,760","38,693","40,866","39,688"
PBR(배),0.96,1.09,1.68,1.27,1.79,1.72,1.40,1.27
현금DPS(원),500,550,0,577,0,0,0,
현금배당수익률,1.73,1.56,0.00,1.14,,,,
현금배당성향(%),22.16,23.30,0.00,13.62,0.00,0.00,0.00,
발행주식수(보통주),"46,957,120","46,957,120","46,957,120",,"46,957,120","46,957,120",,
