0,1,2,3,4,5,6,7,8
한국조선해양(산업재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"131,610","151,826","149,037","151,066","36,815","37,973","35,580","40,019"
영업이익,"-4,814","2,902",744,"-7,163",675,"-8,973","1,418",-452
영업이익(발표기준),"-4,814","2,902",744,,675,"-8,973","1,418",
세전계속사업이익,"-8,540",899,"-5,690","-7,668",831,"-9,538","2,422",-340
당기순이익,"-4,536","2,131","-8,352","-5,770",636,"-7,221","1,926",-602
당기순이익(지배),"-4,891","1,641","-8,338","-5,560",447,"-6,288","1,745",-700
당기순이익(비지배),354,490,-14,,189,-934,181,
자산총계,"247,299","250,554","252,442","253,011","247,390","255,669","272,510","253,011"
부채총계,"116,189","121,291","128,230","131,552","121,729","136,552","141,292","131,552"
자본총계,"131,110","129,263","124,212","121,459","125,660","119,117","131,218","121,459"
자본총계(지배),"118,822","115,669","109,063","103,707","110,292","104,674","103,960","103,707"
자본총계(비지배),,"13,594","15,149",,"15,369","14,443","27,258",
자본금,"3,539","3,539","3,539","3,540","3,539","3,539","3,539","3,540"
영업활동현금흐름,"1,265","-14,641",-900,"6,481","4,608","9,904","-1,739",
투자활동현금흐름,-57,"-3,296","4,571","-1,637",-228,"-1,421","1,785",
재무활동현금흐름,"-3,294","9,732","12,268","1,459","-3,160",-901,"9,350",
CAPEX,"2,258","4,047","3,784","3,269",592,989,"1,133",
FCF,-992,"-18,688","-4,684","-2,335","4,016","8,915","-2,871",
이자발생부채,"39,019","53,462","64,393",,"61,786","60,825","60,418",
영업이익률,-3.66,1.91,0.50,-4.74,1.83,-23.63,3.98,-1.13
순이익률,-3.45,1.40,-5.60,-3.82,1.73,-19.02,5.41,-1.51
ROE(%),-4.25,1.40,-7.42,-5.23,-8.14,-13.99,-11.72,
ROA(%),-1.65,0.86,-3.32,-2.28,-3.69,-6.34,-5.20,
부채비율,88.62,93.83,103.23,108.31,96.87,114.64,107.68,108.31
자본유보율,"5,235.63","5,274.30","5,035.69",,"5,053.03","4,875.05","4,924.55",
EPS(원),"-7,296","2,318","-11,781","-7,856",632,"-8,884","2,465",-988
PER(배),N/A,54.56,N/A,N/A,N/A,N/A,N/A,
BPS(원),"168,031","163,572","154,230","146,655","155,967","148,023","147,014","146,655"
PBR(배),0.76,0.77,0.70,0.56,0.86,0.91,0.69,0.56
현금DPS(원),0,0,0,0,0,,,
현금배당수익률,0.00,0.00,0.00,0.00,,,,
현금배당성향(%),0.00,0.00,0.00,,0.00,,0.00,
발행주식수(보통주),"70,773,116","70,773,116","70,773,116",,"70,773,116","70,773,116","70,773,116",
