0,1,2,3,4,5,6,7,8
우리금융지주(금융),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,,"227,083","286,376",,"87,068","43,868","86,817",
영업이익,,"28,000","20,804","35,447","9,335","10,503","10,918","4,444"
영업이익(발표기준),,"28,000","20,804",,"9,335","10,503","10,918",
세전계속사업이익,,"27,230","20,013","36,244","9,418","10,760","11,350","4,516"
당기순이익,,"20,376","15,152","27,011","7,189","8,184","8,244","3,046"
당기순이익(지배),,"18,722","13,073","25,019","6,671","7,526","7,782","2,881"
당기순이익(비지배),,"1,654","2,080",,518,658,462,
자산총계,,"3,619,807","3,990,810","4,402,765","4,161,044","4,212,706","4,381,849","4,402,765"
부채총계,,"3,364,884","3,723,552","4,122,362","3,889,261","3,931,104","4,098,701","4,122,362"
자본총계,,"254,923","267,258","280,400","271,783","281,602","283,148","280,400"
자본총계(지배),,"215,104","230,536","250,878","235,129","245,592","253,159","250,878"
자본총계(비지배),,"39,820","36,722",,"36,654","36,010","29,988",
자본금,,"36,113","36,113","36,355","36,113","36,113","36,403","36,355"
영업활동현금흐름,,"18,703","36,060",,"11,240","-61,431","34,490",
투자활동현금흐름,,"-85,881","-14,564",,"-9,775","14,999","-52,030",
재무활동현금흐름,,"61,710","23,672",,"6,124","38,814","18,729",
CAPEX,,"4,295","1,493",,193,212,408,
FCF,,,,,,,,
이자발생부채,,"430,752","498,863",,"581,651","623,350","560,156",
영업이익률,,12.33,7.27,,10.72,23.94,12.57,
순이익률,,8.97,5.29,,8.26,18.66,9.50,
ROE(%),,,5.87,10.39,6.42,8.82,9.84,
ROA(%),,,0.40,0.64,0.42,0.57,0.63,
부채비율,,"1,319.96","1,393.24","1,470.17","1,431.02","1,395.98","1,447.55","1,470.17"
자본유보율,,605.90,640.05,,652.58,679.77,677.92,
EPS(원),,"2,776","1,810","3,453",924,"1,042","1,073",396
PER(배),,4.18,5.38,4.45,5.01,4.00,3.56,
BPS(원),,"29,782","31,918","34,458","32,554","34,003","34,772","34,458"
PBR(배),,0.39,0.30,0.45,0.31,0.34,0.34,0.45
현금DPS(원),,700,360,886,0,150,0,
현금배당수익률,,6.03,3.70,5.77,,,,
현금배당성향(%),,27.00,19.89,25.79,0.00,14.40,0.00,
발행주식수(보통주),,"722,267,683","722,267,683",,"722,267,683","722,267,683","728,060,549",
