0,1,2,3,4,5,6,7,8
하림지주(필수소비재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"73,571","73,503","77,233","97,890","20,569","25,919","29,569",
영업이익,"3,549","3,065","3,540","5,920","1,077","1,697","2,542",
영업이익(발표기준),"3,549","3,065","3,540",,"1,077","1,697","2,542",
세전계속사업이익,"2,290","1,338","2,251","5,250","1,145","1,441","1,965",
당기순이익,"1,943",946,"1,736","4,360",941,"1,286","1,887",
당기순이익(지배),964,556,547,"2,360",503,729,"1,003",
당기순이익(비지배),980,390,"1,189",,438,556,884,
자산총계,"81,134","86,157","93,637","106,780","98,265","103,734","111,501","106,780"
부채총계,"48,166","51,662","59,090","67,150","61,961","66,237","70,812","67,150"
자본총계,"32,968","34,495","34,547","39,630","36,304","37,497","40,688","39,630"
자본총계(지배),"16,839","17,437","16,938","19,720","17,913","18,591","20,338","19,720"
자본총계(비지배),,"17,058","17,609",,"18,391","18,906","20,350",
자본금,94,94,93,90,93,93,93,90
영업활동현금흐름,"1,671","4,341","6,703","10,650",469,"1,536","2,370",
투자활동현금흐름,"-6,486","-5,159","-6,696","-7,830","-2,107","-1,731","-2,127",
재무활동현금흐름,"6,524",53,"1,668",-510,"1,029",676,922,
CAPEX,"4,670","5,508","6,721","7,280","2,044","1,583","1,359",
FCF,"-2,999","-1,167",-19,,"-1,575",-46,"1,010",
이자발생부채,"38,290","42,194","47,305",,"50,384","52,974","57,398",
영업이익률,4.83,4.17,4.58,6.05,5.24,6.55,8.60,
순이익률,2.64,1.29,2.25,4.45,4.58,4.96,6.38,
ROE(%),6.36,3.24,3.18,12.88,6.11,8.08,12.53,
ROA(%),2.57,1.13,1.93,4.35,2.80,3.22,4.54,
부채비율,146.10,149.77,171.05,169.44,170.67,176.64,174.04,169.44
자본유보율,"20,348.63","20,530.06","20,987.50",,"21,427.73","22,211.41","23,297.48",
EPS(원),"1,172",594,590,"2,556",544,790,"1,086",
PER(배),9.81,14.43,15.27,3.71,7.74,6.52,3.65,
BPS(원),"22,277","23,093","22,431","26,116","23,723","24,621","26,935","26,116"
PBR(배),0.52,0.37,0.40,0.36,0.39,0.43,0.35,0.36
현금DPS(원),100,50,50,50,0,0,0,
현금배당수익률,0.87,0.58,0.55,0.53,,,,
현금배당성향(%),7.84,6.79,6.90,1.96,,,0.00,
발행주식수(보통주),"93,584,198","93,584,198","92,341,820",,"92,341,820","92,341,820","92,341,820",
