0,1,2,3,4,5,6,7,8
DL(소재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"109,845","16,604","15,661","23,514","5,099","5,812","6,226","6,376"
영업이익,"8,454","1,360","1,190","2,476",660,475,745,597
영업이익(발표기준),"8,454","1,360","1,190",,660,475,745,
세전계속사업이익,"8,944","2,693",444,"8,790","2,416","4,759","1,225",
당기순이익,"6,781","7,103","5,727","9,232","3,246","4,502",974,511
당기순이익(지배),"6,464","6,650","5,050","9,062","3,181","4,499",911,592
당기순이익(비지배),317,453,677,,65,3,62,
자산총계,"128,337","134,452","139,019","118,955","66,184","74,773","79,563","118,955"
부채총계,"67,835","67,085","106,905","76,225","32,413","32,142","35,834","76,225"
자본총계,"60,502","67,367","32,113","42,730","33,771","42,631","43,729","42,730"
자본총계(지배),"53,900","59,373","25,931","34,320","30,248","39,207","40,174","34,320"
자본총계(비지배),,"7,994","6,183",,"3,523","3,424","3,555",
자본금,"2,185","2,185","2,185","1,790","1,111","1,387","1,387","1,790"
영업활동현금흐름,"11,045","9,522","13,662","3,325","1,479",743,235,
투자활동현금흐름,"-3,808","-1,373","-14,751","-6,570",-136,"-1,208",-828,
재무활동현금흐름,"-5,256","-3,868","3,689","6,275",332,-160,"4,225",
CAPEX,"1,485","1,685","4,302","1,760",291,473,235,
FCF,"9,560","7,837","9,359","-2,255","1,188",270,0,
이자발생부채,"26,594","27,166","23,834",,"24,418","24,766","28,970",
영업이익률,7.70,8.19,7.60,10.53,12.93,8.16,11.97,9.36
순이익률,6.17,42.78,36.56,39.27,63.66,77.45,15.64,8.01
ROE(%),12.37,11.74,11.84,30.08,13.73,17.58,14.85,
ROA(%),5.17,5.41,4.19,7.16,6.49,8.70,7.34,
부채비율,112.12,99.58,332.90,178.39,95.98,75.40,81.95,178.39
자본유보율,"2,440.21","2,685.75","2,917.79",,"5,866.65","5,337.58","5,402.67",
EPS(원),"16,746","17,228","13,082","43,485","17,829","22,320","4,025","2,615"
PER(배),6.12,5.25,6.34,1.39,4.69,2.58,2.41,
BPS(원),"139,638","153,815","67,178","151,759","176,887","173,367","177,645","151,759"
PBR(배),0.73,0.59,1.24,0.40,0.49,0.46,0.43,0.40
현금DPS(원),"1,700","1,300","1,300","1,350",0,,,
현금배당수익률,1.66,1.44,1.57,2.24,,,,
현금배당성향(%),10.18,7.57,9.97,3.12,,,0.00,
발행주식수(보통주),"34,800,000","34,800,000","34,800,000",,"15,441,262","20,955,884","20,955,884",
