0,1,2,3,4,5,6,7,8
팬오션(산업재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"26,684","24,679","24,972","44,194","6,799","11,299","13,282","12,812"
영업이익,"2,039","2,100","2,252","5,506",489,"1,120","1,913","1,983"
영업이익(발표기준),"2,039","2,100","2,252",,489,"1,120","1,913",
세전계속사업이익,"1,490","1,483",920,"4,966",548,913,"1,796","1,627"
당기순이익,"1,486","1,477",907,"4,908",546,911,"1,790","2,013"
당기순이익(지배),"1,524","1,519",925,"4,950",546,911,"1,790","1,513"
당기순이익(비지배),-38,-42,-18,,,,,
자산총계,"41,195","44,542","46,593","60,779","51,274","54,945","60,676","60,779"
부채총계,"14,591","15,546","18,527","25,936","21,728","24,574","27,004","25,936"
자본총계,"26,604","28,995","28,067","34,843","29,546","30,371","33,672","34,843"
자본총계(지배),"26,438","28,864","28,067","34,843","29,546","30,371","33,672","34,843"
자본총계(비지배),,131,,,,,,
자본금,"5,346","5,346","5,346","5,348","5,346","5,346","5,346","5,348"
영업활동현금흐름,"2,681","4,048","4,705","7,260",68,"1,655","1,982",
투자활동현금흐름,"-1,266","-2,130","-3,369","-4,472","-1,333",-838,-662,
재무활동현금흐름,"-1,491","-1,520","-1,390",-611,"1,043",-624,-489,
CAPEX,"1,654","2,170","2,895","3,529",886,919,853,
FCF,"1,026","1,878","1,809","2,940",-818,736,"1,129",
이자발생부채,"11,270","12,610","14,782",,"17,332","18,785","21,177",
영업이익률,7.64,8.51,9.02,12.46,7.19,9.92,14.40,15.48
순이익률,5.57,5.99,3.63,11.11,8.03,8.06,13.48,15.71
ROE(%),6.06,5.49,3.25,15.74,4.17,5.72,9.72,
ROA(%),3.71,3.45,1.99,9.14,2.52,3.38,5.65,
부채비율,54.84,53.62,66.01,74.44,73.54,80.91,80.20,74.44
자본유보율,379.25,407.45,424.79,,430.00,447.03,480.52,
EPS(원),285,284,173,926,102,170,335,283
PER(배),15.59,16.00,29.00,5.73,26.28,26.21,12.97,
BPS(원),"4,946","5,400","5,250","6,518","5,527","5,681","6,299","6,518"
PBR(배),0.90,0.84,0.96,0.81,1.12,1.50,1.20,0.81
현금DPS(원),0,0,50,64,,,,
현금배당수익률,0.00,0.00,1.00,1.21,,,,
현금배당성향(%),0.00,0.00,28.89,6.94,0.00,,0.00,
발행주식수(보통주),"534,569,207","534,569,207","534,569,512",,"534,569,512","534,569,512","534,569,512",
