0,1,2,3,4,5,6,7,8
BGF리테일(경기관련소비재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"57,759","59,461","61,813","67,454","15,012","17,004","18,366","17,076"
영업이익,"1,895","1,966","1,622","1,988",216,586,695,490
영업이익(발표기준),"1,895","1,966","1,622",,216,586,695,
세전계속사업이익,"2,025","2,011","1,631","2,007",214,606,643,508
당기순이익,"1,542","1,514","1,227","1,533",159,468,493,409
당기순이익(지배),"1,542","1,514","1,227","1,524",159,468,493,380
당기순이익(비지배),,,,,,,,
자산총계,"14,826","21,724","23,712","26,238","24,211","25,592","25,919","26,238"
부채총계,"9,609","15,498","16,743","18,257","17,499","18,414","18,250","18,257"
자본총계,"5,217","6,226","6,968","8,035","6,711","7,178","7,669","8,035"
자본총계(지배),"5,217","6,226","6,968","8,033","6,711","7,178","7,669","8,033"
자본총계(비지배),,,,,,,,
자본금,173,173,173,171,173,173,173,171
영업활동현금흐름,"3,458","5,328","5,073","5,606",768,"2,527",924,
투자활동현금흐름,"-3,242","-2,939","-2,664","-2,446",-218,"-1,584",-227,
재무활동현금흐름,-150,"-2,462","-2,450","-2,027",-541,-964,-583,
CAPEX,"1,806","1,670","1,730","1,849",225,464,500,
FCF,"1,652","3,658","3,343","3,307",543,"2,063",424,
이자발생부채,51,"5,555","6,196",,238,238,227,
영업이익률,3.28,3.31,2.62,2.95,1.44,3.45,3.78,2.87
순이익률,2.67,2.55,1.98,2.27,1.06,2.75,2.69,2.40
ROE(%),33.88,26.46,18.60,20.32,20.11,20.97,19.20,
ROA(%),11.17,8.28,5.40,6.14,5.50,5.84,5.48,
부채비율,184.20,248.93,240.28,227.22,260.75,256.55,237.96,227.22
자본유보율,"2,788.51","3,372.48","3,803.31",,"3,654.59","3,924.43","4,208.98",
EPS(원),"8,921","8,758","7,100","8,816",918,"2,707","2,853","2,196"
PER(배),22.87,19.35,19.09,18.60,21.57,22.11,21.33,
BPS(원),"30,198","36,040","40,337","46,503","38,849","41,549","44,396","46,503"
PBR(배),6.76,4.70,3.36,3.53,4.07,4.32,3.84,3.53
현금DPS(원),"2,680","2,700","2,400","2,612",,,,
현금배당수익률,1.31,1.59,1.77,1.59,,,,
현금배당성향(%),30.03,30.81,33.79,29.63,0.00,,0.00,
발행주식수(보통주),"17,283,906","17,283,906","17,283,906",,"17,283,906","17,283,906","17,283,906",
