0,1,2,3,4,5,6,7,8
이마트(경기관련소비재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"170,491","190,629","220,330","249,598","58,958","58,647","63,119","68,570"
영업이익,"4,628","1,507","2,372","3,826","1,232",76,"1,086","1,438"
영업이익(발표기준),"4,628","1,507","2,372",,"1,232",76,"1,086",
세전계속사업이익,"5,850","2,821","6,218","23,416","1,501","6,477","12,729","3,728"
당기순이익,"4,762","2,238","3,626","17,316","1,021","4,830","9,370","5,756"
당기순이익(지배),"4,502","2,339","3,618","16,975",912,"4,764","9,336","2,079"
당기순이익(비지배),260,-101,8,,109,66,34,
자산총계,"167,539","210,948","223,404","254,079","232,298","240,108","272,482","254,079"
부채총계,"78,964","108,880","118,438","133,315","125,511","132,103","153,396","133,315"
자본총계,"88,575","102,067","104,966","120,764","106,787","108,005","119,086","120,764"
자본총계(지배),"81,723","88,087","90,737","106,050","92,541","93,694","102,667","106,050"
자본총계(비지배),,"13,981","14,229",,"14,247","14,311","16,418",
자본금,"1,394","1,394","1,394","1,391","1,394","1,394","1,394","1,391"
영업활동현금흐름,"7,698","8,158","13,860","18,617","6,748","-1,429","6,336",
투자활동현금흐름,"-8,168","-10,051",-783,"-11,768","-9,313",86,"-11,798",
재무활동현금흐름,"1,028","5,810","-8,701","1,262","2,047",244,"5,338",
CAPEX,"8,946","9,548","5,198","5,994","1,482","1,438","2,041",
FCF,"-1,248","-1,391","8,662","10,538","5,266","-2,867","4,294",
이자발생부채,"38,186","60,358","61,799",,"34,896","72,269","46,743",
영업이익률,2.71,0.79,1.08,1.53,2.09,0.13,1.72,2.10
순이익률,2.79,1.17,1.65,6.94,1.73,8.24,14.85,8.39
ROE(%),5.49,2.76,4.05,17.25,4.54,6.20,14.31,
ROA(%),2.90,1.18,1.67,7.25,1.90,2.59,5.67,
부채비율,89.15,106.68,112.83,110.39,117.53,122.31,128.81,110.39
자본유보율,"5,029.24","5,044.76","5,243.34",,"5,363.67","5,602.42","6,269.06",
EPS(원),"16,150","8,391","12,979","60,894","3,273","17,091","33,491","7,459"
PER(배),11.30,15.20,11.67,2.31,11.79,7.90,3.31,
BPS(원),"293,291","326,681","336,509","381,635","333,019","337,170","369,462","381,635"
PBR(배),0.62,0.39,0.45,0.37,0.51,0.47,0.45,0.37
현금DPS(원),"2,000","2,000","2,000","2,032",,,,
현금배당수익률,1.10,1.57,1.32,1.45,,,,
현금배당성향(%),12.38,23.06,14.91,3.34,0.00,,0.00,
발행주식수(보통주),"27,875,819","27,875,819","27,875,819",,"27,875,819",,,
