0,1,2,3,4,5,6,7,8
메리츠증권(금융),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"87,394","119,126","166,049",,"48,376","48,789","61,485",
영업이익,"5,323","6,799","8,280","9,685","2,846","2,398","2,402","2,115"
영업이익(발표기준),"5,323","6,799","8,280",,"2,846","2,398","2,402",
세전계속사업이익,"5,892","7,670","7,672","10,240","2,887","2,617","2,628","2,215"
당기순이익,"4,338","5,546","5,651","7,490","2,117","1,903","1,912","1,650"
당기순이익(지배),"4,282","5,490","5,583","7,487","2,094","1,879","1,892","1,625"
당기순이익(비지배),56,56,69,,23,23,19,
자산총계,"311,618","381,099","438,470","468,938","469,032","489,521","502,139","468,938"
부채총계,"276,887","340,907","390,582","415,720","421,387","439,258","451,352","415,720"
자본총계,"34,731","40,193","47,888","53,215","47,644","50,263","50,786","53,215"
자본총계(지배),"33,734","39,195","46,144","52,105","45,900","48,520","49,542","52,105"
자본총계(비지배),,997,"1,744",,"1,744","1,743","1,244",
자본금,"7,175","7,175","7,761","7,760","7,761","7,762","7,762","7,760"
영업활동현금흐름,"-50,427","-55,437","-48,104",,"2,934","-12,769","7,550",
투자활동현금흐름,"-1,394","-5,710","-4,827",,"-1,671",-821,"-2,934",
재무활동현금흐름,"51,373","61,231","53,068",,"-1,278","14,120","-5,500",
CAPEX,29,161,66,,5,5,5,
FCF,,,,,,,,
이자발생부채,"114,158","130,647","128,537",,"128,196","140,341","138,332",
영업이익률,6.09,5.71,4.99,,5.88,4.92,3.91,
순이익률,4.96,4.66,3.40,,4.38,3.90,3.11,
ROE(%),13.00,15.05,13.08,15.24,15.65,15.30,15.48,
ROA(%),1.57,1.59,1.36,1.65,1.53,1.55,1.59,
부채비율,797.23,848.18,815.62,781.21,884.44,873.92,888.73,781.21
자본유보율,385.42,461.54,518.25,,517.17,562.64,580.71,
EPS(원),602,789,773,"1,022",280,252,263,226
PER(배),7.11,4.80,4.74,6.30,5.10,5.05,5.02,
BPS(원),"5,107","6,076","6,557","8,360","6,556","7,442","7,809","8,360"
PBR(배),0.84,0.62,0.56,0.77,0.70,0.64,0.63,0.77
현금DPS(원),200,200,320,108,0,0,0,
현금배당수익률,4.67,5.28,8.73,1.67,,,,
현금배당성향(%),32.54,24.73,39.89,9.79,0.00,0.00,0.00,
발행주식수(보통주),"605,641,072","617,310,701","675,961,727",,"675,961,727","681,730,579","681,730,579",
