0,1,2,3,4,5,6,7,8
JB금융지주(금융),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"24,489","24,079","24,156",,"6,090","6,190","6,325",
영업이익,"4,168","4,849","4,695","6,568","1,778","1,938","1,851","1,018"
영업이익(발표기준),"4,168","4,849","4,695",,"1,778","1,938","1,851",
세전계속사업이익,"4,165","4,833","4,640","6,594","1,827","1,928","1,867","1,190"
당기순이익,"3,210","3,621","3,908","4,981","1,382","1,511","1,379",712
당기순이익(지배),"2,415","3,419","3,635","4,811","1,323","1,460","1,340",776
당기순이익(비지배),795,202,273,,59,51,39,
자산총계,"467,798","475,296","533,755","561,317","537,734","545,455","555,689","561,317"
부채총계,"433,215","437,098","493,466","518,717","496,986","503,760","513,408","518,717"
자본총계,"34,583","38,198","40,289","42,601","40,749","41,695","42,280","42,601"
자본총계(지배),"31,317","34,699","37,563","40,466","38,059","39,429","40,615","40,466"
자본총계(비지배),,"3,499","2,725",,"2,689","2,266","1,665",
자본금,"9,849","9,849","9,849","9,850","9,849","9,849","9,849","9,850"
영업활동현금흐름,"4,321",151,"-3,879",,"-2,569","-2,010","4,447",
투자활동현금흐름,790,-259,"-8,010",,590,351,"-1,399",
재무활동현금흐름,"-6,253",356,"14,087",,"1,576","2,159","-1,230",
CAPEX,515,445,463,,29,45,72,
FCF,,,,,,,,
이자발생부채,"79,130","79,845","96,553",,"98,782","99,113","100,317",
영업이익률,17.02,20.14,19.44,,29.20,31.31,29.26,
순이익률,13.11,15.04,16.18,,22.69,24.41,21.80,
ROE(%),8.69,10.36,10.06,12.33,10.91,12.03,12.30,
ROA(%),0.68,0.77,0.78,0.91,0.83,0.90,0.92,
부채비율,"1,252.68","1,144.30","1,224.83","1,217.62","1,219.63","1,208.20","1,214.30","1,217.62"
자본유보율,252.68,289.38,310.61,,315.28,324.89,330.83,
EPS(원),"1,465","1,736","1,845","2,442",672,741,680,394
PER(배),3.89,3.16,3.06,3.51,3.23,3.27,3.68,
BPS(원),"16,114","17,854","19,328","20,822","19,584","20,288","20,899","20,822"
PBR(배),0.35,0.31,0.29,0.41,0.33,0.37,0.43,0.41
현금DPS(원),180,300,374,506,0,0,0,
현금배당수익률,3.16,5.46,6.63,5.91,,,,
현금배당성향(%),14.48,17.05,20.00,20.72,,,0.00,
발행주식수(보통주),"196,982,894","196,982,894","196,982,894",,"196,982,894","196,982,894",,
